response,ager,educ,file_race,gender,race_eth,ABOLOISHICE,AFRAID,approve,ASSAULTW,CONIMMIG,ENGLISH,genballot,hdem_fav,hrep_fav,IMMCRIME,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_unkother,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Don't know,disagree,Approve,support,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Bangor Area,85 percent or higher,Landline,1,0.9945,0.6544,0.4984,0.6733
Rep,50 to 64,Some college or trade school,White,Male,White,Support,disagree,Disapp.,support,Support,disagree,Don't know,Favorable,Don't know,disagree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Bangor Area,50 to 85 percent,Landline,1,0.844,0.8391,0.8227,0.8766
Rep,18 to 34,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Don't know,disagree,Reps. keep House,Unfavorable,Favorable,agree,18 to 29,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,North,50 to 85 percent,Cell,0.7778,0.6116,1.6364,1.8119,1.6051
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,South/Central,50 to 85 percent,Landline,1,0.6522,1.3176,1.1115,1.4338
Dem,50 to 64,High school,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,agree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,North,85 percent or higher,Landline,1,0.946,1.0719,0.777,1.1045
Dem,50 to 64,Grade school,White,Male,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,South/Central,85 percent or higher,Cell,1,0.9555,1.3449,1.1111,1.3846
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.9243,0.5307,0.3258,0.5481
Rep,35 to 49,Bachelors' degree,White,Female,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Reps. keep House,Don't know,Favorable,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,South/Central,85 percent or higher,Landline,1,0.9937,0.8487,0.423,0.8731
Rep,35 to 49,High school,White,Female,White,Oppose,agree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,30 to 44,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,35 to 49,White,Auburn/Lewiston,85 percent or higher,Landline,1,0.9922,1.6643,1.3324,1.7068
Rep,65 and older,Some college or trade school,White,Male,White,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Don't know,Favorable,disagree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.9957,0.9297,0.6679,0.9568
Dem,65 and older,High school,White,Male,White,Don't know,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,65 and older,High School Grad. or Less,Democratic,Male,Not at all likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.9304,1.0868,0.8557,0.998
Dem,65 and older,Some college or trade school,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,North,50 to 85 percent,Landline,1,0.8,0.8602,0.693,0.8798
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Don't know,agree,Disapp.,support,Support,disagree,Dems. take House,Favorable,Favorable,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,North,50 to 85 percent,Landline,1,0.5179,0.491,0.4848,0.5571
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.9947,0.5695,0.3077,0.5859
Dem,65 and older,Some college or trade school,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,North,85 percent or higher,Landline,1,0.9925,0.5829,0.3516,0.5979
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Unknown/Non-White,North,85 percent or higher,Landline,1,0.9943,0.5673,0.3175,0.5837
Rep,[DO NOT READ] Refused,Some college or trade school,Asian,Male,White,Oppose,agree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Unfavorable,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,Unknown/Non-White,Auburn/Lewiston,85 percent or higher,Cell,1,0.9257,1.3963,0.9781,1.4418
Rep,35 to 49,High school,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,30 to 44,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,35 to 49,White,Auburn/Lewiston,Less than 50 percent,Cell,1,0.3799,2.1639,6.4641,2.4052
Rep,35 to 49,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,Don't know,Dems. take House,Unfavorable,Favorable,disagree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,North,85 percent or higher,Cell,1,0.9627,0.6304,0.2975,0.6487
Rep,65 and older,Some college or trade school,White,Male,White,Support,disagree,Disapp.,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,North,85 percent or higher,Cell,1,0.9918,0.7073,0.4718,0.7274
Rep,50 to 64,Some college or trade school,White,Male,White,Support,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Bangor Area,85 percent or higher,Landline,1,0.9954,0.8982,0.8024,0.9242
Rep,65 and older,Some college or trade school,White,Female,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.9382,0.9977,0.7204,1.0162
Rep,35 to 49,Some college or trade school,White,Female,White,Support,disagree,Approve,oppose,Don't know,disagree,Reps. keep House,Don't know,Favorable,disagree,30 to 44,Some College Educ.,Democratic,Female,Very likely,Republican,"White, No 4-Year College Degree",White,35 to 49,White,North,85 percent or higher,Cell,1,0.9418,0.6684,0.3367,0.6809
Dem,65 and older,Some college or trade school,White,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,North,85 percent or higher,Landline,1,0.9923,0.5829,0.3517,0.5996
Rep,65 and older,Some college or trade school,Other,Female,White,Support,agree,Approve,support,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Unknown/Non-White,North,85 percent or higher,Landline,1,0.9938,0.8618,0.5346,0.8866
Und,65 and older,Bachelors' degree,White,Male,White,Oppose,disagree,Don't know,support,Support,disagree,Reps. keep House,Don't know,Don't know,disagree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Auburn/Lewiston,85 percent or higher,Landline,1,0.9972,0.8149,0.6321,0.8389
Rep,35 to 49,Some college or trade school,White,Male,White,Support,disagree,Disapp.,oppose,Oppose,disagree,Reps. keep House,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,White,North,85 percent or higher,Cell,0.7778,0.8865,0.7557,0.472,0.7689
Und,35 to 49,High school,White,Female,White,Oppose,disagree,Approve,support,Don't know,disagree,Don't know,Don't know,Don't know,disagree,30 to 44,High School Grad. or Less,Republican,Female,Not very likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Auburn/Lewiston,50 to 85 percent,Cell,0.2222,0.7605,1.8864,2.0266,1.1676
Dem,65 and older,High school,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Bangor Area,85 percent or higher,Landline,1,0.9469,1.3401,1.3836,1.3807
Rep,35 to 49,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,South/Central,85 percent or higher,Landline,1,0.9739,0.791,0.4247,0.8134
Rep,50 to 64,Some college or trade school,White,Female,White,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Don't know,Unfavorable,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,South/Central,85 percent or higher,Cell,1,0.9936,0.8387,0.5044,0.8628
Dem,50 to 64,Some college or trade school,White,Male,White,Support,disagree,Don't know,oppose,Support,disagree,Reps. keep House,Don't know,Unfavorable,agree,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Bangor Area,50 to 85 percent,Cell,1,0.7269,1.0667,1.2606,1.0983
Und,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Oppose,disagree,Disapp.,support,Don't know,disagree,Dems. take House,Don't know,Unfavorable,disagree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Bangor Area,85 percent or higher,Landline,1,0.9233,0.7674,0.6114,0.7926
Und,50 to 64,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Favorable,Favorable,agree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,North,50 to 85 percent,Landline,1,0.5295,0.6739,0.764,0.7615
Und,65 and older,Grade school,White,Male,White,Oppose,agree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Don't know,disagree,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Bangor Area,85 percent or higher,Landline,0.4444,0.9867,1.2488,1.3066,1.256
Dem,35 to 49,Grade school,Unknown,Male,White,Support,agree,Approve,support,Support,agree,Reps. keep House,Favorable,Unfavorable,disagree,30 to 44,High School Grad. or Less,Republican,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,Unknown/Non-White,Auburn/Lewiston,Less than 50 percent,Landline,1,0.3993,2.29,6.7605,2.7356
Rep,50 to 64,Bachelors' degree,White,Male,Other,Support,disagree,Approve,support,Support,disagree,Reps. keep House,Unfavorable,Favorable,Don't know,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,White,South/Central,Less than 50 percent,Landline,1,0.2056,1.0286,4.0903,1.4237
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Support,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,North,85 percent or higher,Landline,1,0.9916,0.5256,0.2912,0.5406
Dem,50 to 64,Some college or trade school,White,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Bangor Area,50 to 85 percent,Landline,1,0.5558,2.1347,3.3677,2.3902
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,South/Central,85 percent or higher,Cell,1,0.9935,0.6085,0.2755,0.6259
Dem,65 and older,Some college or trade school,White,Female,White,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,agree,65 and older,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Bangor Area,85 percent or higher,Landline,1,0.9313,0.99,0.8625,1.0082
Dem,65 and older,High school,White,Male,Other,Support,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Unfavorable,agree,65 and older,High School Grad. or Less,Other,Male,Somewhat likely,Independent (No party),Nonwhite,Nonwhite,65 and older,White,Bangor Area,85 percent or higher,Landline,0.5556,0.9496,1.3085,1.3361,1.2375
Rep,50 to 64,High school,White,Male,White,Don't know,disagree,Approve,oppose,Support,agree,Don't know,Unfavorable,Favorable,disagree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,South/Central,85 percent or higher,Landline,1,0.9569,1.4091,1.0918,1.4506
Dem,50 to 64,Bachelors' degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,North,85 percent or higher,Landline,1,0.9937,0.508,0.2468,0.5226
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.9899,0.5307,0.3042,0.5458
Dem,65 and older,Some college or trade school,White,Female,White,Support,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,Don't know,65 and older,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.9285,1.0453,0.7164,1.0644
Dem,50 to 64,Bachelors' degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Bangor Area,85 percent or higher,Landline,1,0.9322,0.804,0.5959,0.8188
Dem,50 to 64,Bachelors' degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,South/Central,85 percent or higher,Landline,1,0.9752,0.6678,0.3575,0.6867
Rep,35 to 49,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,30 to 44,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,White,South/Central,85 percent or higher,Cell,1,0.9395,1.0408,0.6229,1.0732
Dem,65 and older,Some college or trade school,Unknown,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,Unknown/Non-White,South/Central,85 percent or higher,Landline,1,0.9985,0.9338,0.564,0.9617
Dem,50 to 64,Bachelors' degree,White,Female,White,Don't know,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,White,South/Central,85 percent or higher,Landline,1,0.9955,0.6678,0.3502,0.6858
Rep,50 to 64,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,oppose,Don't know,disagree,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,North,50 to 85 percent,Landline,1,0.6145,0.6821,0.6043,0.75
Dem,65 and older,Some college or trade school,White,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Cell,1,0.9512,0.7663,0.5214,0.7892
Dem,50 to 64,Some college or trade school,White,Male,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,North,85 percent or higher,Landline,1,0.8752,0.7558,0.5232,0.7858
Dem,50 to 64,Bachelors' degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Auburn/Lewiston,85 percent or higher,Landline,1,0.9948,0.7351,0.4775,0.7564
