response,ager,educ,file_race,gender,race_eth,APPKAV,approve,genballot,hdem_fav,hrep_fav,NAFTA,TARIFF,TAXREFORM,TRUMPECON,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Clinton Precinct,85 percent or higher,Landline,1,0.9836,0.7585,0.5245,0.7704
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Clinton Precinct,85 percent or higher,Landline,1,0.9928,1.0241,0.6664,1.0406
Rep,65 and older,Bachelors' degree,White,Female,White,support,Don't know,Reps. keep House,Unfavorable,Favorable,Support,Oppose,Support,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Less-educ. Trump,50 to 85 percent,Landline,1,0.8414,0.962,0.6992,0.9933
Und,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Don't know,Don't know,Support,agree,65 and older,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Clinton Precinct,85 percent or higher,Landline,1,0.9305,1.027,0.6513,1.0331
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,45 to 64,4-year College Grad.,Republican,Male,Somewhat likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,Less-educ. Trump,85 percent or higher,Cell,0.8889,0.9913,0.9976,0.5217,0.9997
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Clinton Precinct,85 percent or higher,Cell,1,0.9947,0.8292,0.5101,0.8428
Rep,50 to 64,Some college or trade school,White,Male,Black,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,45 to 64,Some College Educ.,Other,Male,Very likely,Republican,Nonwhite,Nonwhite,50 to 64,White,Less-educ. Trump,Less than 50 percent,Cell,1,0.411,0.7796,1.1716,0.8464
Rep,18 to 34,Bachelors' degree,White,Male,White,Don't know,Approve,Reps. keep House,Unfavorable,Don't know,Oppose,Support,Support,agree,30 to 44,4-year College Grad.,Other,Male,Not very likely,Republican,"White, 4-Year College Grads",White,18 to 34,White,Well-educ. Trump,Less than 50 percent,Cell,0.4444,0.4975,1.1064,1.4096,0.6204
Dem,50 to 64,High school,White,Female,White,Don't know,Disapp.,Dems. take House,Unfavorable,Unfavorable,Don't know,Oppose,Support,agree,45 to 64,High School Grad. or Less,Democratic,Female,Not very likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Less-educ. Trump,50 to 85 percent,Landline,0.1111,0.836,2.131,1.8236,1.3579
Rep,35 to 49,Some college or trade school,White,Female,White,oppose,Disapp.,Reps. keep House,Unfavorable,Unfavorable,Oppose,Oppose,Support,disagree,30 to 44,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Clinton Precinct,85 percent or higher,Cell,1,0.8871,0.8056,0.6025,0.8259
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Don't know,Support,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Well-educ. Trump,Less than 50 percent,Landline,1,0.2135,1.2386,3.3611,1.6786
Dem,35 to 49,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,White,Clinton Precinct,50 to 85 percent,Cell,1,0.7659,0.8434,0.6673,0.883
Dem,50 to 64,Bachelors' degree,Hispanic,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Non-White,Well-educ. Trump,85 percent or higher,Cell,1,0.99,1.2809,0.7196,1.3013
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Don't know,disagree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Less-educ. Trump,85 percent or higher,Landline,1,0.9507,0.7346,0.4198,0.7475
Dem,18 to 34,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 34,White,Clinton Precinct,50 to 85 percent,Cell,1,0.7331,0.7679,0.6634,0.8096
Rep,35 to 49,Bachelors' degree,White,Male,White,oppose,Disapp.,Reps. keep House,Don't know,Don't know,Support,Support,Support,agree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.6795,1.2246,0.9405,1.3073
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Don't know,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Clinton Precinct,85 percent or higher,Landline,1,0.9946,0.7468,0.479,0.759
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Clinton Precinct,50 to 85 percent,Cell,1,0.821,0.8675,0.6018,0.8988
Dem,50 to 64,Some college or trade school,Unknown,Female,Other,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,Unknown,Clinton Precinct,50 to 85 percent,Cell,1,0.5456,0.9166,0.906,1.0174
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Well-educ. Trump,85 percent or higher,Cell,0,0.8599,0.8304,0.6099,0.7237
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Favorable,Don't know,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Clinton Precinct,85 percent or higher,Landline,1,0.9848,1.0241,0.6718,1.0402
Rep,35 to 49,Graduate or Professional Degree,White,Male,Hispanic,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,35 to 49,White,Clinton Precinct,85 percent or higher,Cell,0.8889,0.9886,0.8033,0.4902,0.811
Und,65 and older,High school,Black,Female,Black,Don't know,Disapp.,Dems. take House,Favorable,Unfavorable,Don't know,Oppose,Oppose,disagree,65 and older,High School Grad. or Less,Democratic,Female,Somewhat likely,Democrat,Nonwhite,Nonwhite,65 and older,Non-White,Kansas City,85 percent or higher,Landline,1,0.8558,2.1707,1.9767,2.0748
Rep,50 to 64,Bachelors' degree,White,Female,Other,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,Nonwhite,50 to 64,White,Well-educ. Trump,85 percent or higher,Landline,1,0.939,1.1888,0.6883,1.211
Rep,65 and older,Graduate or Professional Degree,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Don't know,Support,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Well-educ. Trump,85 percent or higher,Landline,1,0.9804,0.7963,0.512,0.8088
Dem,65 and older,Bachelors' degree,White,Male,White,support,Don't know,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Support,disagree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Clinton Precinct,85 percent or higher,Landline,1,0.9949,1.027,0.609,1.0439
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Clinton Precinct,85 percent or higher,Landline,1,0.9906,0.7585,0.5208,0.768
Dem,18 to 34,Graduate or Professional Degree,Unknown,Male,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,Unknown,Well-educ. Trump,85 percent or higher,Cell,1,0.8621,0.7718,0.5015,0.7942
Rep,50 to 64,Bachelors' degree,Other,Female,White,support,Disapp.,Dems. take House,Don't know,Favorable,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Non-White,Less-educ. Trump,50 to 85 percent,Cell,1,0.5614,1.1789,1.121,1.3016
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Clinton Precinct,50 to 85 percent,Landline,1,0.8308,1.1059,0.8119,1.115
Dem,35 to 49,Bachelors' degree,Other,Male,Asian,Don't know,Approve,Reps. keep House,Don't know,Unfavorable,Oppose,Oppose,Support,agree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,Non-White,Well-educ. Trump,85 percent or higher,Cell,1,0.8647,1.241,0.7869,1.2765
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Clinton Precinct,85 percent or higher,Landline,1,0.9934,0.7542,0.514,0.7664
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Support,Support,agree,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Less-educ. Trump,85 percent or higher,Cell,1,0.98740000000000006,0.7368,0.4459,0.7453
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Well-educ. Trump,50 to 85 percent,Landline,1,0.7693,0.914,0.6768,0.9257
Rep,18 to 34,Some college or trade school,Other,Male,White,oppose,Don't know,Reps. keep House,Unfavorable,Unfavorable,Support,Oppose,Support,agree,30 to 44,Some College Educ.,Republican,Male,Not at all likely,Republican,"White, No 4-Year College Degree",White,18 to 34,Non-White,Clinton Precinct,Less than 50 percent,Cell,0,0.2413,0.8387,2.5585,0.1965
Dem,35 to 49,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Clinton Precinct,85 percent or higher,Cell,1,0.9964,1.0709,0.6354,1.0888
Rep,65 and older,High school,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Oppose,Support,Oppose,agree,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Clinton Precinct,85 percent or higher,Cell,0.8889,0.9386,2.0633,1.8383,2.0602
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.6121,1.153,1.0076,1.2533
Dem,18 to 34,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Unfavorable,Unfavorable,Support,Oppose,Oppose,agree,18 to 29,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Well-educ. Trump,Less than 50 percent,Cell,0.7778,0.2223,0.8195,2.4596,0.8547
Dem,65 and older,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Well-educ. Trump,85 percent or higher,Landline,1,0.9936,0.8032,0.4675,0.8162
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Clinton Precinct,85 percent or higher,Cell,1,0.9933,1.0054,0.6716,1.0217
Rep,65 and older,Graduate or Professional Degree,White,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Don't know,Don't know,Support,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Well-educ. Trump,85 percent or higher,Landline,1,0.9828,0.7963,0.5107,0.8088
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,45 to 64,4-year College Grad.,Republican,Male,Not at all likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,Well-educ. Trump,50 to 85 percent,Cell,0.6667,0.696,1.2677,0.8806,0.8197
Rep,50 to 64,Graduate or Professional Degree,White,Male,Other,support,Disapp.,Reps. keep House,Don't know,Favorable,Support,Oppose,Support,disagree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,or as a member of another political party,Nonwhite,Nonwhite,50 to 64,White,Clinton Precinct,85 percent or higher,Cell,1,0.9305,0.8445,0.4918,0.861
Dem,50 to 64,Some college or trade school,White,Male,Black,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.8469,0.9536,0.5557,0.9837
Rep,65 and older,Bachelors' degree,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Less-educ. Trump,85 percent or higher,Landline,1,0.9927,0.9047,0.5724,0.9193
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Don't know,Oppose,disagree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Unknown,Kansas City,50 to 85 percent,Cell,1,0.697,0.8737,0.6296,0.9287
Dem,35 to 49,Bachelors' degree,White,Male,Hispanic,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,White,Clinton Precinct,50 to 85 percent,Cell,1,0.8257,1.1387,0.7938,1.1789
Dem,35 to 49,Some college or trade school,Unknown,Female,Black,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Don't know,Oppose,Oppose,disagree,30 to 44,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,35 to 49,Unknown,Less-educ. Trump,Less than 50 percent,Cell,1,0.4601,0.7389,1.1539,0.7901
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Clinton Precinct,85 percent or higher,Cell,1,0.9583,0.7607,0.493,0.7735
Rep,65 and older,Graduate or Professional Degree,Unknown,Female,White,Don't know,Approve,Reps. keep House,Don't know,Favorable,Don't know,Support,Support,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Unknown,Less-educ. Trump,85 percent or higher,Landline,1,0.9853,0.6782,0.421,0.6889
Rep,65 and older,Bachelors' degree,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Less-educ. Trump,85 percent or higher,Cell,1,0.9938,0.9047,0.5717,0.9195
Dem,50 to 64,Bachelors' degree,White,Female,Black,oppose,Disapp.,Dems. take House,Unfavorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,White,Clinton Precinct,85 percent or higher,Landline,1,0.9958,1.1054,0.6657,1.1238
Dem,65 and older,Bachelors' degree,White,Male,White,support,Disapp.,Reps. keep House,Unfavorable,Unfavorable,Support,Support,Support,disagree,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Well-educ. Trump,85 percent or higher,Landline,0.8889,0.8944,1.1013,0.6559,1.118
Und,50 to 64,High school,White,Female,White,Don't know,Disapp.,Don't know,Don't know,Don't know,Don't know,Oppose,Don't know,disagree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Less-educ. Trump,50 to 85 percent,Cell,1,0.821,2.131,1.8569,2.208
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Clinton Precinct,85 percent or higher,Landline,1,0.9985,0.7447,0.5209,0.7569
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Unfavorable,Don't know,Support,Support,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Clinton Precinct,85 percent or higher,Landline,1,0.9903,0.7563,0.4722,0.7684
Dem,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Less-educ. Trump,85 percent or higher,Cell,1,0.9845,0.9609,0.5981,0.976
Und,18 to 34,Bachelors' degree,White,Male,White,support,Disapp.,Reps. keep House,Don't know,Don't know,Support,Support,Support,disagree,30 to 44,4-year College Grad.,Republican,Male,Somewhat likely,Republican,"White, 4-Year College Grads",White,18 to 34,White,Clinton Precinct,50 to 85 percent,Cell,0.3333,0.8174,1.056,0.7568,0.8243
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Well-educ. Trump,85 percent or higher,Landline,1,0.9896,0.8032,0.4694,0.8159
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Unknown,Clinton Precinct,85 percent or higher,Landline,1,0.949,0.7537,0.5131,0.767
Rep,35 to 49,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,support,Approve,Reps. keep House,Don't know,Don't know,Support,Oppose,Support,disagree,30 to 44,Some College Educ.,Other,Male,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,35 to 49,White,Kansas City,50 to 85 percent,Cell,1,0.5262,0.8363,0.8507,0.9346
Dem,65 and older,Graduate or Professional Degree,White,Male,Black,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Republican,Nonwhite,Nonwhite,65 and older,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.8198,0.8337,0.5854,0.864
Dem,50 to 64,Some college or trade school,Hispanic,Female,White,oppose,Disapp.,Don't know,Favorable,Unfavorable,Don't know,Don't know,Don't know,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,Non-White,Kansas City,50 to 85 percent,Cell,1,0.7838,0.9159,0.6694,0.9555
