response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedc,file_race_black,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,50 to 64,Bachelors' degree,White,Male,White,Don't know,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,40 to 64,White,85 percent or higher,Cell,1,0.8528,0.8936,0.5297,0.8828
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",Rest,18 to 39,White,Less than 50 percent,Landline,1,0.3236,1.0796,2.1594,1.1642
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Henrico,18 to 39,White,50 to 85 percent,Cell,0.8889,0.573,1.109,1.0905,1.1382
Dem,35 to 49,High school,White,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Rest,40 to 64,White,85 percent or higher,Cell,1,0.97,1.5023,1.5135,1.4633
Dem,65 and older,Bachelors' degree,Black,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Henrico,40 to 64,Black,85 percent or higher,Landline,1,0.9626,0.9106,0.4352,0.8874
Und,65 and older,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Don't know,Don't know,65 and older,Some College Educ.,Other,Female,Already voted,Democrat,Nonwhite,Rest,65 and older,Black,50 to 85 percent,Cell,1,0.818,1.0355,0.5175,1.0484
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",Henrico,18 to 39,White,Less than 50 percent,Landline,1,0.3419,1.4319,3.133,1.5311
Und,35 to 49,Graduate or Professional Degree,White,Male,Hispanic,Don't know,Don't know,Don't know,Don't know,30 to 44,Postgraduate Degree,Other,Male,Almost certain,or as a member of another political party,Nonwhite,Henrico,40 to 64,White,50 to 85 percent,Cell,1,0.5154,0.6443,0.6359,0.693
Rep,65 and older,Bachelors' degree,White,Female,Asian,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,Rest,65 and older,White,85 percent or higher,Landline,1,0.9117,0.9373,0.4037,0.9182
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",Rest,18 to 39,White,Less than 50 percent,Cell,1,0.1562,0.8302,3.2075,1.2869
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Don't know,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,65 and older,White,85 percent or higher,Cell,1,0.9092,0.772,0.3578,0.7565
Dem,50 to 64,Graduate or Professional Degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Chesterfield,40 to 64,Black,85 percent or higher,Landline,1,0.929,0.8235,0.4336,0.805
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Chesterfield,40 to 64,White,85 percent or higher,Cell,1,0.97,0.699,0.3652,0.6809
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,40 to 64,White,50 to 85 percent,Landline,1,0.5064,0.7108,0.6213,0.767
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",Rest,40 to 64,White,Less than 50 percent,Cell,1,0.3808,0.86,1.204,0.9825
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",Chesterfield,40 to 64,White,85 percent or higher,Landline,1,0.8704,0.8081,0.499,0.7797
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",Henrico,65 and older,White,50 to 85 percent,Landline,1,0.8475,0.966,0.5215,0.9329
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",Rest,40 to 64,White,85 percent or higher,Landline,1,0.9002,0.9812,0.5458,0.9626
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rest,40 to 64,White,50 to 85 percent,Landline,1,0.8452,1.3629,1.422,1.3482
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Chesterfield,40 to 64,White,50 to 85 percent,Cell,1,0.5234,0.8247,0.7725,0.8844
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Chesterfield,40 to 64,White,85 percent or higher,Cell,1,0.9127,0.8081,0.4759,0.7915
Rep,65 and older,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Male,Already voted,Republican,[DO NOT READ] Don't know/Refused,Rest,65 and older,White,85 percent or higher,Cell,1,0.97,0.7041,0.3061,0.6894
Und,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Male,Black,Don't know,Don't know,Favorable,Don't know,45 to 64,Postgraduate Degree,Other,Male,Almost certain,[DO NOT READ] Refused,Nonwhite,Henrico,40 to 64,Unknown,50 to 85 percent,Cell,1,0.5356,0.9505,0.7711,1.0148
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Henrico,40 to 64,White,50 to 85 percent,Cell,1,0.6163,0.732,0.5153,0.7619
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Landline,1,0.9272,0.7739,0.3801,0.7567
Dem,65 and older,Grade school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rest,65 and older,Unknown,85 percent or higher,Landline,1,0.8934,2.0554,1.537,2.0184
Dem,50 to 64,Some college or trade school,White,Female,White,Don't know,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",Chesterfield,40 to 64,White,50 to 85 percent,Cell,0.8889,0.7511,0.9953,0.6951,0.9477
Dem,18 to 34,Bachelors' degree,Other,Male,Black,Disapp.,Dems. take House,Favorable,Favorable,18 to 29,4-year College Grad.,Other,Male,Almost certain,Democrat,Nonwhite,Henrico,18 to 39,Other Non-White,Less than 50 percent,Landline,0.7778,0.2371,1.4267,3.3708,1.6117
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Chesterfield,40 to 64,White,85 percent or higher,Cell,1,0.97,0.699,0.3652,0.6809
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",Chesterfield,65 and older,White,50 to 85 percent,Landline,1,0.7351,0.6324,0.3111,0.6161
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,40 to 64,White,50 to 85 percent,Landline,0.8889,0.7452,0.6428,0.4059,0.6369
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,40 to 64,White,Less than 50 percent,Landline,1,0.4018,0.9451,1.3546,1.0679
Und,35 to 49,Graduate or Professional Degree,White,Female,Other,Don't know,Dems. take House,Don't know,Don't know,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,Chesterfield,40 to 64,White,Less than 50 percent,Cell,1,0.4102,0.7083,0.9882,0.7969
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",Chesterfield,40 to 64,White,50 to 85 percent,Landline,1,0.7832,0.6342,0.3703,0.6344
Dem,50 to 64,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Chesterfield,40 to 64,White,85 percent or higher,Cell,1,0.97,0.9091,0.5092,0.8855
Rep,65 and older,Some college or trade school,White,Female,Other,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,Independent (No party),Nonwhite,Henrico,65 and older,White,50 to 85 percent,Landline,1,0.6095,1.1502,0.8975,1.243
Dem,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Rest,40 to 64,Black,85 percent or higher,Landline,1,0.9643,1.1788,0.6863,1.1486
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,40 to 64,White,85 percent or higher,Landline,1,0.8986,0.9776,0.6761,0.9593
Dem,65 and older,Graduate or Professional Degree,Black,Male,Black,Don't know,Don't know,Don't know,Don't know,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,Rest,65 and older,Black,Less than 50 percent,Landline,1,0.1231,0.727,2.1005,1.078
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Don't know,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,40 to 64,White,50 to 85 percent,Landline,1,0.5137,0.709,0.5653,0.763
Und,35 to 49,High school,White,Female,White,Don't know,Dems. take House,Don't know,Don't know,30 to 44,High School Grad. or Less,Other,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",Chesterfield,40 to 64,White,Less than 50 percent,Cell,0.7778,0.2675,1.3829,5.3308,1.0645
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Rest,40 to 64,White,85 percent or higher,Landline,1,0.9567,0.7694,0.4362,0.7502
Und,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Don't know,45 to 64,Some College Educ.,Other,Male,Not very likely,Republican,"White, No 4-Year College Degree",Rest,40 to 64,White,Less than 50 percent,Landline,1,0.4021,0.8402,1.2831,0.6371
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rest,40 to 64,White,85 percent or higher,Landline,1,0.97,1.1568,0.7358,1.1268
Und,65 and older,High school,Asian,Female,Black,Don't know,Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,Rest,65 and older,Other Non-White,50 to 85 percent,Landline,1,0.7784,1.9266,1.7044,1.8692
Dem,35 to 49,Bachelors' degree,Other,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",Rest,40 to 64,Other Non-White,Less than 50 percent,Landline,1,0.2025,1.0404,2.4772,1.4976
Und,35 to 49,Graduate or Professional Degree,White,Female,Other,Don't know,Don't know,Don't know,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,[DO NOT READ] Refused,Nonwhite,Rest,40 to 64,White,50 to 85 percent,Landline,1,0.6161,0.7287,0.5839,0.7215
Dem,65 and older,High school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,Nonwhite,Rest,65 and older,Black,50 to 85 percent,Landline,1,0.8379,1.5546,1.2744,1.5396
Dem,65 and older,Grade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",Rest,65 and older,White,85 percent or higher,Landline,1,0.9691,1.1892,0.8789,1.1497
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",Chesterfield,65 and older,White,85 percent or higher,Landline,1,0.97,0.7366,0.2626,0.7122
Dem,65 and older,Some college or trade school,White,Male,Other,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Other,Male,Very likely,Democrat,Nonwhite,Rest,65 and older,White,Less than 50 percent,Landline,1,0.3749,0.8026,1.0307,0.8464
Dem,35 to 49,Graduate or Professional Degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),Nonwhite,Chesterfield,18 to 39,Black,85 percent or higher,Cell,1,0.9174,0.8769,0.4606,0.8455
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Reps. keep House,Favorable,Don't know,65 and older,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",Rest,65 and older,White,Less than 50 percent,Landline,1,0.2904,0.7448,1.232,0.9702
Dem,35 to 49,Graduate or Professional Degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,Chesterfield,40 to 64,White,85 percent or higher,Landline,1,0.97,0.699,0.3652,0.6759
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",Henrico,40 to 64,White,85 percent or higher,Landline,1,0.97,0.9776,0.6263,0.9523
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,40 to 64,White,85 percent or higher,Landline,1,0.8877,0.8936,0.5089,0.8782
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Rest,65 and older,White,85 percent or higher,Landline,1,0.9581,1.4351,1.1478,1.399
Dem,[DO NOT READ] Refused,High school,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,Chesterfield,40 to 64,White,85 percent or higher,Landline,1,0.97,1.3648,1.2845,1.3196
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Rest,65 and older,White,85 percent or higher,Landline,1,0.97,0.735,0.3223,0.716
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Chesterfield,65 and older,White,50 to 85 percent,Landline,1,0.8175,0.8224,0.3902,0.8174
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,40 to 64,White,85 percent or higher,Landline,1,0.97,0.639,0.2715,0.6224
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",Chesterfield,65 and older,White,85 percent or higher,Landline,1,0.9294,0.6397,0.2711,0.6253
Dem,65 and older,High school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,Nonwhite,Rest,65 and older,Black,50 to 85 percent,Landline,1,0.8135,1.5546,1.3126,1.5462
Rep,65 and older,Bachelors' degree,Black,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",Chesterfield,65 and older,Black,50 to 85 percent,Landline,1,0.8486,0.7872,0.2794,0.7602
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Henrico,40 to 64,White,85 percent or higher,Landline,1,0.9665,1.0783,0.6035,1.0506
Dem,50 to 64,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,Nonwhite,Rest,40 to 64,White,50 to 85 percent,Landline,1,0.8091,0.9201,0.6143,0.9159
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Rest,40 to 64,White,85 percent or higher,Cell,1,0.97,0.6376,0.3333,0.6211
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Chesterfield,65 and older,White,85 percent or higher,Landline,1,0.9413,0.8684,0.3931,0.8479
Rep,35 to 49,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Rest,40 to 64,Unknown,85 percent or higher,Landline,1,0.8861,1.4473,0.6989,1.4227
Dem,35 to 49,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Chesterfield,40 to 64,Black,85 percent or higher,Landline,1,0.9288,0.8874,0.4684,0.8675
Dem,65 and older,Graduate or Professional Degree,Black,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",Chesterfield,65 and older,Black,85 percent or higher,Landline,1,0.9068,0.7867,0.3327,0.7585
Rep,50 to 64,Some college or trade school,Unknown,Male,Black,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Very likely,Republican,Nonwhite,Rest,40 to 64,Unknown,50 to 85 percent,Cell,1,0.6955,1.1247,0.6977,1.1008
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Landline,1,0.9082,1.0301,0.4811,1.0096
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Rest,65 and older,White,85 percent or higher,Landline,1,0.97,0.8497,0.3952,0.8277
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Henrico,18 to 39,White,85 percent or higher,Landline,1,0.8807,1.1711,0.8231,1.1521
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",Rest,18 to 39,White,50 to 85 percent,Landline,1,0.6691,0.9364,0.7284,0.9197
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",Rest,40 to 64,White,50 to 85 percent,Landline,1,0.8015,0.698,0.4263,0.7098
Rep,35 to 49,Some college or trade school,Asian,Male,Asian,Approve,Reps. keep House,Don't know,Don't know,30 to 44,Some College Educ.,Other,Male,Almost certain,Republican,Nonwhite,Chesterfield,40 to 64,Other Non-White,Less than 50 percent,Cell,1,0.2876,1.082,2.1302,1.3133
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",Henrico,40 to 64,White,85 percent or higher,Landline,1,0.9607,0.8101,0.4898,0.7825
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Chesterfield,65 and older,White,85 percent or higher,Landline,0.8889,0.8519,1.0039,0.5326,0.9809
