response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_unkother,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,Less than 50 percent,Landline,0.8889,0.4847,0.8185,0.9496,0.7043
Und,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Cell,1,0.9297,1.2401,0.7573,1.2465
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,Buffalo Burbs,Less than 50 percent,Cell,1,0.4855,1.6434,1.5701,1.8385
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Rest,50 to 85 percent,Cell,1,0.5979,0.865,0.8315,0.9308
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Rest,Less than 50 percent,Cell,1,0.3751,1.1204,1.8984,1.3204
Rep,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Buffalo Burbs,50 to 85 percent,Cell,0.6667,0.5352,1.7005,2.4643,1.6921
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",65 and older,Unknown/Non-White,Buffalo Burbs,50 to 85 percent,Cell,0.7778,0.5022,0.5981,0.4953,0.4872
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,White,Buffalo Burbs,85 percent or higher,Cell,1,0.8896,1.0921,0.8627,1.1034
3,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9494,0.5017,0.2543,0.5033
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Buffalo Burbs,85 percent or higher,Cell,1,0.9415,0.7876,0.4391,0.7907
Dem,50 to 64,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,50 to 64,White,Rest,85 percent or higher,Cell,1,0.92,0.7995,0.4853,0.8045
Rep,50 to 64,High school,Unknown,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,Unknown/Non-White,Rest,85 percent or higher,Cell,1,0.8751,1.729,1.613,1.7505
Und,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,Rest,50 to 85 percent,Cell,0.7778,0.5983,0.6345,0.4752,0.6063
Und,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Cell,0.7778,0.9141,0.6675,0.3064,0.6481
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Buffalo Burbs,50 to 85 percent,Cell,1,0.5233,1.3757,1.9796,1.5171
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9221,0.57,0.3057,0.5652
3,65 and older,Some college or trade school,White,Male,White,Disapp.,Reps. keep House,Favorable,Unfavorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Buffalo Burbs,50 to 85 percent,Cell,1,0.8126,1.0241,0.7518,1.0476
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",35 to 49,White,Rest,50 to 85 percent,Cell,1,0.7582,0.8685,0.5809,0.8681
3,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Reps. keep House,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Rest,Less than 50 percent,Cell,1,0.4982,0.8038,1.0847,0.8948
Und,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,Don't know,Don't know,65 and older,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest,50 to 85 percent,Cell,1,0.7169,0.644,0.4105,0.6465
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,Rest,Less than 50 percent,Cell,0.7778,0.1284,1.4684,4.6659,1.9056
Und,35 to 49,Graduate or Professional Degree,White,Female,White,Don't know,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Buffalo Burbs,50 to 85 percent,Cell,0.6667,0.6278,0.7964,0.7582,0.6352
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Buffalo Burbs,85 percent or higher,Cell,1,0.956,0.4424,0.1785,0.4435
Und,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,Don't know,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",35 to 49,White,Rest,50 to 85 percent,Landline,0.8889,0.6784,0.836,0.4897,0.8216
Und,35 to 49,Graduate or Professional Degree,White,Male,White,Don't know,Reps. keep House,Unfavorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Very likely,Republican,"White, 4-Year College Grads",35 to 49,White,Rest,85 percent or higher,Cell,0.6667,0.8567,0.7727,0.3482,0.7312
Rep,35 to 49,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Don't know,Unfavorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",35 to 49,Unknown/Non-White,Rest,50 to 85 percent,Cell,1,0.7288,1.5421,1.5519,1.546
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Don't know,Don't know,Favorable,65 and older,Some College Educ.,Other,Female,Very likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.8635,0.6828,0.5651,0.6776
Und,65 and older,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Democratic,Male,[DO NOT READ] Don't know/Refused,Republican,"White, No 4-Year College Degree",50 to 64,White,Buffalo Burbs,Less than 50 percent,Cell,0.4444,0.344,1.8842,3.2417,1.0534
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Buffalo Burbs,85 percent or higher,Cell,1,0.906,0.9355,0.5099,0.9431
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Rest,50 to 85 percent,Cell,1,0.5895,0.6167,0.5298,0.6653
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,Buffalo Burbs,Less than 50 percent,Cell,1,0.4261,0.5488,0.8075,0.5845
Rep,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,Unknown/Non-White,Buffalo Burbs,85 percent or higher,Cell,1,0.8524,0.6441,0.5365,0.6544
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Rest,85 percent or higher,Cell,1,0.8509,0.7687,0.4934,0.7812
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Dems. take House,Unfavorable,Favorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Buffalo Burbs,50 to 85 percent,Cell,1,0.7998,1.1485,0.8091,1.1777
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",18 to 34,White,Buffalo Burbs,Less than 50 percent,Cell,0.7778,0.4164,2.37,3.6383,2.3017
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,White,Rest,Less than 50 percent,Cell,1,0.3349,1.7588,3.3698,2.1234
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Dems. take House,Favorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Rest,50 to 85 percent,Cell,1,0.8223,1.4229,1.2439,1.4531
3,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Rest,50 to 85 percent,Cell,1,0.6916,1.011,0.7677,1.0608
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Rest,85 percent or higher,Cell,0.8889,0.8953,0.6418,0.2946,0.6422
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Landline,1,0.9506,0.7037,0.4015,0.6985
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",35 to 49,White,Buffalo Burbs,Less than 50 percent,Cell,1,0.4944,1.0673,2.0759,1.1899
Rep,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,High School Grad. or Less,Republican,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",35 to 49,White,Buffalo Burbs,Less than 50 percent,Cell,0.5556,0.4884,1.9386,3.0402,1.3836
Und,18 to 34,Bachelors' degree,White,Female,White,Approve,Don't know,Favorable,Unfavorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",18 to 34,White,Rest,50 to 85 percent,Landline,1,0.75,1.6415,1.145,1.6998
Rep,65 and older,Graduate or Professional Degree,Unknown,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Unknown/Non-White,Rest,85 percent or higher,Landline,1,0.9277,0.5208,0.3055,0.5236
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest,85 percent or higher,Cell,1,0.9232,1.7394,1.216,1.7497
Dem,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",50 to 64,White,Rest,85 percent or higher,Landline,1,0.933,1.3908,0.7995,1.3793
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Buffalo Burbs,50 to 85 percent,Landline,1,0.715,1.2007,0.7932,1.253
Dem,65 and older,Bachelors' degree,White,Male,White,Don't know,Reps. keep House,Favorable,Unfavorable,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Cell,1,0.9247,0.5864,0.2778,0.5815
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9491,0.5562,0.1998,0.558
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Buffalo Burbs,50 to 85 percent,Landline,1,0.6884,0.8041,0.6912,0.8444
Dem,50 to 64,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,Unknown/Non-White,Rest,85 percent or higher,Cell,1,0.9051,1.1677,0.7642,1.1773
3,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",50 to 64,White,Buffalo Burbs,50 to 85 percent,Landline,1,0.7812,0.7964,0.4197,0.8195
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Cell,1,0.9571,0.8457,0.5269,0.8478
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Buffalo Burbs,50 to 85 percent,Landline,1,0.5723,1.2124,1.4426,1.315
Rep,50 to 64,Graduate or Professional Degree,White,Male,Other,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,50 to 64,White,Rest,85 percent or higher,Landline,1,0.9086,0.8348,0.4612,0.8413
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,18 to 29,4-year College Grad.,Republican,Male,Not at all likely,Independent (No party),"White, 4-Year College Grads",18 to 34,White,Buffalo Burbs,85 percent or higher,Cell,0,0.9386,1.4313,0.8064,0.9638
Und,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Female,[DO NOT READ] Don't know/Refused,Republican,"White, 4-Year College Grads",50 to 64,White,Rest,Less than 50 percent,Cell,0.4444,0.3674,0.8393,1.3765,0.475
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Buffalo Burbs,85 percent or higher,Landline,1,0.8683,0.9355,0.5317,0.9481
Und,50 to 64,Bachelors' degree,White,Female,White,Approve,Dems. take House,Don't know,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Not very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Rest,50 to 85 percent,Cell,0,0.589,0.8523,0.818,0.3585
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Buffalo Burbs,50 to 85 percent,Landline,1,0.8406,0.9219,0.4169,0.9158
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Buffalo Burbs,50 to 85 percent,Cell,1,0.8432,0.5763,0.2541,0.5864
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Buffalo Burbs,50 to 85 percent,Cell,1,0.7551,0.8188,0.5381,0.8187
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Don't know,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Landline,1,0.6986,0.8763,0.8582,0.918
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Landline,1,0.7657,1.3418,1.0283,1.385
Und,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Buffalo Burbs,85 percent or higher,Cell,1,0.9455,0.7568,0.3856,0.7595
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Landline,1,0.8847,0.7037,0.4307,0.7115
Und,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Landline,1,0.7261,1.0395,0.9088,1.0425
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,Buffalo Burbs,85 percent or higher,Cell,1,0.8815,1.1444,0.571,1.1576
Rep,35 to 49,Graduate or Professional Degree,White,Male,Hispanic,Approve,Reps. keep House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Republican,Nonwhite,35 to 49,White,Rest,50 to 85 percent,Cell,1,0.6098,1.0014,0.8709,1.0738
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Female,Not very likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,Rest,Less than 50 percent,Landline,0.1111,0.4158,2.1382,4.9086,0.834
Und,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Buffalo Burbs,85 percent or higher,Landline,1,0.9343,0.6542,0.3903,0.6572
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Landline,1,0.8526,0.664,0.4613,0.6747
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,Buffalo Burbs,Less than 50 percent,Cell,0.7778,0.4277,0.6797,0.8304,0.659
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,0,0.9346,1.0454,0.685,0.9511
Dem,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Rest,50 to 85 percent,Cell,1,0.6845,1.0302,0.7066,1.0384
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Buffalo Burbs,85 percent or higher,Cell,1,0.9316,0.6297,0.2966,0.6329
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Buffalo Burbs,Less than 50 percent,Landline,1,0.4076,0.7723,1.1114,0.8947
Rep,65 and older,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,Unknown/Non-White,Rest,85 percent or higher,Landline,1,0.9644,0.74,0.5603,0.7414
Dem,35 to 49,Bachelors' degree,White,Female,White,Approve,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",35 to 49,White,Rest,50 to 85 percent,Landline,1,0.8392,0.8237,0.3855,0.8388
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Buffalo Burbs,50 to 85 percent,Cell,1,0.6396,0.8083,0.5267,0.8595
Rep,[DO NOT READ] Refused,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Cell,1,0.9464,1.0454,0.6766,1.049
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Buffalo Burbs,85 percent or higher,Cell,1,0.9456,0.6145,0.284,0.6167
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,Buffalo Burbs,85 percent or higher,Landline,1,0.9309,1.3779,0.6137,1.3848
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Don't know,Don't know,Unfavorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Cell,1,0.9322,0.5952,0.2841,0.5981
