response,ager,educ,file_race,gender,race_eth,ABOLOISHICE,AFRAID,approve,ASSAULTW,CLIMATE,CONIMMIG,ENGLISH,genballot,hdem_fav,hrep_fav,IMMCRIME,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedb,file_race_noasian,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Oppose,agree,Approve,support,Very or somewhat,Support,disagree,Reps. keep House,Don't know,Favorable,disagree,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,Nonwhite,North Miami-Dade,35 to 49,Hispanic,85 percent or higher,Cell,1,0.9546,0.5099,0.2131,0.5208
Dem,65 and older,Some college or trade school,White,Female,White,Oppose,disagree,Disapp.,support,Very or somewhat,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Monroe,65 and older,White,85 percent or higher,Landline,1,0.984,0.9504,0.3798,0.979
Rep,50 to 64,Bachelors' degree,White,Male,White,Oppose,agree,Approve,oppose,Not or not very,Oppose,disagree,Reps. keep House,Don't know,Favorable,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",North Miami-Dade,50 to 64,White,50 to 85 percent,Cell,1,0.8492,0.7994,0.382,0.836
Dem,65 and older,Bachelors' degree,White,Female,White,Support,disagree,Disapp.,support,Very or somewhat,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",Monroe,65 and older,White,85 percent or higher,Landline,1,0.9958,0.8965,0.2767,0.9225
Rep,65 and older,Some college or trade school,Hispanic,Male,Hispanic,Oppose,disagree,Approve,oppose,Not or not very,Support,disagree,Reps. keep House,Don't know,Favorable,agree,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,Nonwhite,North Miami-Dade,65 and older,Hispanic,85 percent or higher,Landline,1,0.9806,0.8252,0.4794,0.8453
Dem,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,Oppose,disagree,Disapp.,support,Very or somewhat,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Democrat,Nonwhite,North Miami-Dade,35 to 49,Hispanic,Less than 50 percent,Cell,1,0.4686,1.3817,1.8937,1.6013
Dem,50 to 64,Bachelors' degree,Hispanic,Female,Hispanic,Oppose,agree,Disapp.,support,Very or somewhat,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),Nonwhite,South Miami-Dade,50 to 64,Hispanic,85 percent or higher,Landline,1,0.8853,0.8846,0.3063,0.9025
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Don't know,agree,Don't know,Don't know,Very or somewhat,Oppose,disagree,Don't know,Don't know,Favorable,disagree,30 to 44,Postgraduate Degree,Other,Female,Very likely,Independent (No party),Nonwhite,North Miami-Dade,35 to 49,Hispanic,Less than 50 percent,Cell,1,0.4283,0.814,0.934,0.8913
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Disapp.,support,Very or somewhat,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Monroe,35 to 49,White,85 percent or higher,Cell,1,0.9805,0.4983,0.1717,0.5133
Rep,50 to 64,High school,Hispanic,Female,Hispanic,Support,disagree,Don't know,support,Very or somewhat,Oppose,disagree,Don't know,Don't know,Favorable,agree,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Democrat,Nonwhite,North Miami-Dade,50 to 64,Hispanic,50 to 85 percent,Cell,0.7778,0.5056,2.5363,2.5484,2.7106
Dem,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Oppose,disagree,Disapp.,oppose,Very or somewhat,Oppose,agree,Dems. take House,Don't know,Unfavorable,agree,45 to 64,Some College Educ.,Democratic,Male,Not very likely,Democrat,Nonwhite,South Miami-Dade,50 to 64,Hispanic,Less than 50 percent,Cell,0.5556,0.3462,1.0664,2.1058,0.6035
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Female,Hispanic,Support,disagree,Approve,support,Not or not very,Support,disagree,Reps. keep House,Don't know,Favorable,disagree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,Nonwhite,South Miami-Dade,50 to 64,Hispanic,Less than 50 percent,Cell,1,0.0889,0.4656,1.0996,0.791
Rep,65 and older,Some college or trade school,White,Female,White,Oppose,disagree,Approve,oppose,Not or not very,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Monroe,65 and older,White,85 percent or higher,Cell,1,0.9934,0.7467,0.2609,0.7696
Dem,35 to 49,Some college or trade school,Black,Female,Black,Oppose,agree,Approve,support,Very or somewhat,Support,disagree,Dems. take House,Don't know,Don't know,disagree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,South Miami-Dade,35 to 49,Black,50 to 85 percent,Cell,1,0.745,1.5966,0.8748,1.7027
Dem,50 to 64,Bachelors' degree,Black,Female,Hispanic,Oppose,disagree,Disapp.,support,Not or not very,Oppose,agree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,Nonwhite,North Miami-Dade,50 to 64,Black,50 to 85 percent,Cell,1,0.6958,1.5347,0.6408,1.6549
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Support,disagree,Disapp.,support,Very or somewhat,Oppose,agree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",Monroe,65 and older,White,85 percent or higher,Cell,1,0.9968,0.4482,0.1327,0.4614
Rep,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Oppose,disagree,Approve,support,Not or not very,Support,disagree,Reps. keep House,Favorable,Favorable,agree,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,Nonwhite,North Miami-Dade,50 to 64,Hispanic,85 percent or higher,Cell,1,0.8828,0.7902,0.5139,0.8063
Und,50 to 64,Bachelors' degree,White,Male,White,Oppose,disagree,Don't know,support,Very or somewhat,Support,disagree,Don't know,Don't know,Don't know,disagree,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",North Miami-Dade,50 to 64,White,50 to 85 percent,Landline,1,0.6141,0.9844,0.6455,1.0315
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Oppose,disagree,Disapp.,support,Very or somewhat,Oppose,disagree,Dems. take House,Don't know,Favorable,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,North Miami-Dade,35 to 49,Hispanic,85 percent or higher,Cell,0,0.886,0.5507,0.3413,0.4956
Dem,18 to 34,High school,White,Female,Hispanic,Support,disagree,Disapp.,support,Very or somewhat,Oppose,disagree,Don't know,Favorable,Unfavorable,disagree,18 to 29,High School Grad. or Less,Democratic,Female,Almost certain,or as a member of another political party,Nonwhite,Monroe,18 to 34,White,85 percent or higher,Cell,1,0.8641,1.3284,0.8086,1.3859
Dem,18 to 34,Graduate or Professional Degree,Hispanic,Male,Hispanic,Support,agree,Disapp.,support,Very or somewhat,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,Postgraduate Degree,Other,Male,Very likely,Independent (No party),Nonwhite,North Miami-Dade,18 to 34,Hispanic,Less than 50 percent,Cell,1,0.1802,0.3981,1.3103,0.5016
Und,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Support,agree,Disapp.,support,Not or not very,Support,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Other,Male,Not very likely,Independent (No party),Nonwhite,South Miami-Dade,35 to 49,Hispanic,50 to 85 percent,Landline,0,0.7168,0.544,0.2832,0.2752
Rep,50 to 64,Some college or trade school,White,Male,White,Oppose,disagree,Approve,support,Very or somewhat,Oppose,agree,Reps. keep House,Don't know,Don't know,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Monroe,50 to 64,White,50 to 85 percent,Cell,1,0.6426,0.7576,0.4625,0.8281
Rep,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,Oppose,disagree,Approve,Don't know,Very or somewhat,Support,disagree,Reps. keep House,Don't know,Don't know,disagree,45 to 64,4-year College Grad.,Other,Male,Not very likely,Republican,Nonwhite,North Miami-Dade,35 to 49,Hispanic,Less than 50 percent,Cell,0.7778,0.3309,1.3817,2.6788,0.9303
Dem,18 to 34,Bachelors' degree,Black,Female,Other,Oppose,disagree,Disapp.,support,Very or somewhat,Support,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,South Miami-Dade,18 to 34,Black,Less than 50 percent,Cell,0.8889,0.0993,0.7082,1.7563,1.0809
Dem,18 to 34,Some college or trade school,White,Female,White,Oppose,disagree,Disapp.,support,Very or somewhat,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Monroe,18 to 34,White,Less than 50 percent,Cell,1,0.4395,0.7895,1.0164,0.9267
Rep,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Support,disagree,Approve,oppose,Very or somewhat,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,Nonwhite,North Miami-Dade,50 to 64,Hispanic,50 to 85 percent,Cell,0.8889,0.6503,1.4317,0.9569,1.5269
Dem,35 to 49,Some college or trade school,Hispanic,Female,White,Oppose,disagree,Disapp.,support,Very or somewhat,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",North Miami-Dade,35 to 49,Hispanic,85 percent or higher,Cell,1,0.9257,1.3761,0.9139,1.4237
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Oppose,disagree,Disapp.,support,Very or somewhat,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,30 to 44,Postgraduate Degree,Other,Female,Very likely,Democrat,Nonwhite,North Miami-Dade,35 to 49,Hispanic,50 to 85 percent,Cell,1,0.743,0.7839,0.3852,0.8072
Dem,65 and older,Graduate or Professional Degree,Black,Male,Black,Oppose,disagree,Disapp.,oppose,Not or not very,Support,disagree,Dems. take House,Don't know,Don't know,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,South Miami-Dade,65 and older,Black,85 percent or higher,Landline,1,0.8769,0.4602,0.181,0.4793
Und,50 to 64,Grade school,Other,Female,Asian,Oppose,disagree,Disapp.,support,Very or somewhat,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),Nonwhite,North Miami-Dade,50 to 64,Other Non-White,50 to 85 percent,Cell,0.5556,0.5435,2.5678,2.4368,2.5239
Rep,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Support,disagree,Approve,support,Very or somewhat,Support,disagree,Reps. keep House,Favorable,Favorable,disagree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),Nonwhite,North Miami-Dade,50 to 64,Hispanic,85 percent or higher,Cell,1,0.9007,0.9313,0.4867,0.9665
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,Hispanic,Female,[DO NOT READ] Don't know/Refused,Oppose,agree,Disapp.,support,Not or not very,Oppose,disagree,Reps. keep House,Don't know,Favorable,disagree,45 to 64,[DO NOT READ] Don't know/Refused,Other,Female,Not very likely,Independent (No party),[DO NOT READ] Don't know/Refused,South Miami-Dade,50 to 64,Hispanic,Less than 50 percent,Cell,0.4444,0.1192,1.1729,3.2818,0.5397
Dem,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Support,disagree,Disapp.,oppose,Very or somewhat,Oppose,disagree,Dems. take House,Don't know,Favorable,disagree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,South Miami-Dade,50 to 64,Hispanic,85 percent or higher,Cell,1,0.9809,0.6462,0.3174,0.6657
Dem,18 to 34,Some college or trade school,Black,Female,Black,Oppose,agree,Disapp.,oppose,Very or somewhat,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Monroe,18 to 34,Black,Less than 50 percent,Cell,1,0.3898,1.0445,1.3329,1.2564
Und,18 to 34,High school,Unknown,Female,White,Don't know,disagree,Disapp.,oppose,Very or somewhat,Oppose,disagree,Don't know,Don't know,Don't know,disagree,18 to 29,High School Grad. or Less,Republican,Female,Not at all likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",Monroe,18 to 34,Unknown,Less than 50 percent,Cell,0.4444,0.3718,2.1283,3.9018,0.8981
Dem,18 to 34,Some college or trade school,Black,Female,Black,Oppose,disagree,Disapp.,oppose,Very or somewhat,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,North Miami-Dade,18 to 34,Black,Less than 50 percent,Cell,1,0.4815,1.1684,1.6032,1.3469
Dem,18 to 34,Bachelors' degree,White,Male,White,Support,disagree,Disapp.,support,Very or somewhat,Oppose,disagree,Dems. take House,Don't know,Favorable,disagree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Monroe,18 to 34,White,50 to 85 percent,Cell,1,0.7931,0.6086,0.3071,0.6428
Dem,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Oppose,disagree,Disapp.,support,Very or somewhat,Oppose,disagree,Dems. take House,Favorable,Favorable,disagree,18 to 29,Some College Educ.,Republican,Male,Very likely,Democrat,Nonwhite,North Miami-Dade,18 to 34,Hispanic,Less than 50 percent,Cell,1,0.4418,0.6855,1.2756,0.7474
Rep,65 and older,Some college or trade school,Hispanic,Male,Hispanic,Oppose,agree,Approve,support,Not or not very,Support,disagree,Reps. keep House,Don't know,Unfavorable,agree,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,Nonwhite,South Miami-Dade,65 and older,Hispanic,85 percent or higher,Cell,1,0.9833,0.6748,0.3275,0.6917
Rep,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Oppose,disagree,Approve,oppose,Not or not very,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,18 to 29,4-year College Grad.,Republican,Male,Very likely,Republican,Nonwhite,South Miami-Dade,18 to 34,Hispanic,Less than 50 percent,Cell,0.7778,0.1326,0.5288,1.8638,0.5971
Dem,65 and older,Bachelors' degree,White,Male,White,Support,disagree,Disapp.,support,Very or somewhat,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Monroe,65 and older,White,85 percent or higher,Cell,1,0.9945,0.7607,0.2866,0.7841
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Don't know,disagree,Disapp.,support,Very or somewhat,Oppose,disagree,Reps. keep House,Don't know,Favorable,disagree,30 to 44,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",Monroe,18 to 34,White,85 percent or higher,Cell,0.7778,0.8817,0.2778,0.096,0.2762
Dem,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,Support,disagree,Approve,support,Very or somewhat,Support,disagree,Dems. take House,Don't know,Unfavorable,agree,30 to 44,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),Nonwhite,South Miami-Dade,18 to 34,Hispanic,50 to 85 percent,Cell,0.4444,0.5713,0.7834,0.5681,0.5577
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Approve,support,Not or not very,Support,disagree,Reps. keep House,Don't know,Favorable,disagree,30 to 44,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",Monroe,35 to 49,White,85 percent or higher,Cell,1,0.984,0.3915,0.12,0.4014
Dem,50 to 64,Some college or trade school,Hispanic,Female,White,Support,agree,Disapp.,support,Very or somewhat,Oppose,agree,Dems. take House,Unfavorable,Favorable,disagree,65 and older,Some College Educ.,Republican,Female,Not at all likely,Democrat,"White, No 4-Year College Degree",North Miami-Dade,65 and older,Hispanic,85 percent or higher,Cell,0.1111,0.9832,0.9724,0.4619,0.8555
Rep,65 and older,Graduate or Professional Degree,Other,Male,White,Oppose,agree,Approve,oppose,Very or somewhat,Support,agree,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",North Miami-Dade,65 and older,Other Non-White,85 percent or higher,Cell,1,0.9926,0.377,0.1354,0.3885
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Disapp.,oppose,Very or somewhat,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Monroe,35 to 49,White,85 percent or higher,Cell,1,0.9937,0.4229,0.1753,0.4358
Rep,18 to 34,Bachelors' degree,Hispanic,Female,Hispanic,Support,agree,Disapp.,oppose,Very or somewhat,Oppose,disagree,Reps. keep House,Favorable,Favorable,disagree,18 to 29,4-year College Grad.,Other,Female,Somewhat likely,Independent (No party),Nonwhite,South Miami-Dade,18 to 34,Hispanic,Less than 50 percent,Cell,0.5556,0.3091,0.7674,1.0793,0.5305
Rep,35 to 49,Bachelors' degree,Black,Female,Black,Oppose,agree,Approve,oppose,Not or not very,Support,disagree,Reps. keep House,Don't know,Favorable,Don't know,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,South Miami-Dade,35 to 49,Black,50 to 85 percent,Cell,1,0.8066,1.1834,0.4102,1.2467
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Oppose,agree,Disapp.,support,Very or somewhat,Oppose,disagree,Dems. take House,Favorable,Favorable,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Monroe,35 to 49,White,85 percent or higher,Cell,1,0.9945,0.4983,0.1694,0.5137
Dem,65 and older,Bachelors' degree,White,Female,White,Oppose,disagree,Disapp.,support,Very or somewhat,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Monroe,65 and older,White,85 percent or higher,Cell,1,0.9812,0.8965,0.2807,0.9235
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Disapp.,support,Very or somewhat,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Monroe,65 and older,White,85 percent or higher,Cell,1,0.9933,0.3803,0.1377,0.3919
Rep,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Support,disagree,Approve,oppose,Not or not very,Support,disagree,Reps. keep House,Don't know,Favorable,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,South Miami-Dade,50 to 64,Hispanic,85 percent or higher,Cell,1,0.954,0.7616,0.3152,0.7857
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Approve,oppose,Not or not very,Support,disagree,Reps. keep House,Don't know,Unfavorable,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Monroe,50 to 64,White,85 percent or higher,Cell,1,0.9597,0.2862,0.0971,0.2951
Dem,50 to 64,Bachelors' degree,Hispanic,Female,Hispanic,Oppose,disagree,Disapp.,support,Very or somewhat,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,South Miami-Dade,35 to 49,Hispanic,50 to 85 percent,Cell,1,0.574,1.3254,0.8512,1.4781
Dem,18 to 34,Some college or trade school,Hispanic,Male,Other,Oppose,disagree,Disapp.,support,Very or somewhat,Oppose,disagree,Dems. take House,Don't know,Unfavorable,Don't know,18 to 29,Some College Educ.,Republican,Female,Very likely,Independent (No party),Nonwhite,North Miami-Dade,18 to 34,Hispanic,Less than 50 percent,Cell,1,0.2504,0.8078,2.1669,0.9607
Dem,50 to 64,Bachelors' degree,White,Male,White,Support,disagree,Disapp.,support,Not or not very,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Monroe,50 to 64,White,85 percent or higher,Cell,1,0.9936,0.7285,0.2775,0.7508
Dem,50 to 64,Some college or trade school,White,Male,White,Support,disagree,Disapp.,support,Very or somewhat,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",South Miami-Dade,50 to 64,White,Less than 50 percent,Cell,1,0.3871,0.916,1.5795,1.0172
Rep,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Oppose,disagree,Approve,oppose,Very or somewhat,Oppose,disagree,Reps. keep House,Don't know,Favorable,disagree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Independent (No party),Nonwhite,Monroe,18 to 34,Hispanic,85 percent or higher,Cell,1,0.9742,0.4727,0.2431,0.487
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Female,Hispanic,Support,disagree,Approve,support,Not or not very,Oppose,agree,Reps. keep House,Favorable,Favorable,disagree,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,Nonwhite,North Miami-Dade,50 to 64,Hispanic,Less than 50 percent,Landline,1,0.3013,0.5694,0.8075,0.6569
Rep,50 to 64,Some college or trade school,White,Female,White,Oppose,agree,Approve,oppose,Very or somewhat,Don't know,agree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",South Miami-Dade,50 to 64,White,85 percent or higher,Landline,1,0.8961,0.6542,0.2819,0.6673
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Oppose,disagree,Approve,oppose,Not or not very,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),Nonwhite,North Miami-Dade,35 to 49,Hispanic,50 to 85 percent,Cell,1,0.7996,0.5402,0.3025,0.5699
Dem,65 and older,Some college or trade school,Hispanic,Female,White,Support,agree,Don't know,support,Very or somewhat,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,65 and older,Some College Educ.,Democratic,Female,Not at all likely,Democrat,"White, No 4-Year College Degree",North Miami-Dade,65 and older,Hispanic,Less than 50 percent,Landline,0.5556,0.2295,1.6046,4.6596,0.6795
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Oppose,agree,Approve,support,Not or not very,Oppose,disagree,Dems. take House,Unfavorable,Favorable,disagree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Democrat,Nonwhite,South Miami-Dade,50 to 64,Hispanic,85 percent or higher,Landline,1,0.991,0.3048,0.1121,0.314
