response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,FEMINISM,genballot,hdem_fav,hrep_fav,KAVASST,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,50 to 64,High school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,Don't know,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Brookhaven,85 percent or higher,Landline,1,0.9296,1.4361,1.0306,1.4458
Dem,50 to 64,Some college or trade school,Unknown,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,Unknown,Brookhaven,85 percent or higher,Landline,1,0.9917,1.0938,0.6415,1.1123
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Cell,1,0.9961,0.6761,0.3018,0.6879
Dem,18 to 34,Bachelors' degree,Hispanic,Female,Hispanic,Don't know,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Don't know,agree,18 to 29,4-year College Grad.,Other,Female,Somewhat likely,Democrat,Nonwhite,18 to 34,Non-White,Brookhaven,Less than 50 percent,Landline,0.4444,0.2636,0.993,2.0498,0.6096
Und,18 to 34,Bachelors' degree,White,Female,White,support,Approve,Support,support,Don't know,Don't know,Unfavorable,Do not believe,agree,30 to 44,4-year College Grad.,Other,Female,Not very likely,Independent (No party),"White, 4-Year College Grads",18 to 34,White,Rest,Less than 50 percent,Landline,0.2222,0.4192,0.9333,1.0845,0.4102
Und,35 to 49,Some college or trade school,White,Male,White,oppose,Don't know,Check,oppose,Don't know,Don't know,Don't know,Believe,disagree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Rest,85 percent or higher,Landline,1,0.8897,0.9822,0.9572,1.0074
Dem,18 to 34,Bachelors' degree,Unknown,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,Unknown,Rest,85 percent or higher,Landline,1,0.9107,0.8749,0.4683,0.8948
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,18 to 29,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,Brookhaven,50 to 85 percent,Landline,1,0.691,0.9439,0.7131,1.0057
Dem,35 to 49,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,Don't know,Dems. take House,Don't know,Unfavorable,Believe,agree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Rest,85 percent or higher,Landline,1,0.9009,0.7267,0.3586,0.7443
Rep,50 to 64,Some college or trade school,Unknown,Female,White,support,Approve,Support,support,Reps. keep House,Don't know,Favorable,Do not believe,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,Unknown,Brookhaven,50 to 85 percent,Cell,1,0.5901,1.2241,1.0961,1.3403
Rep,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Don't know,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Rest,50 to 85 percent,Landline,1,0.835,0.7442,0.3356,0.7698
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,Asian,support,Approve,Support,support,Reps. keep House,Don't know,Don't know,Do not believe,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,65 and older,Unknown,Brookhaven,50 to 85 percent,Cell,1,0.6861,0.8329,0.3964,0.8884
Dem,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Brookhaven,50 to 85 percent,Cell,1,0.6531,0.985,0.66,1.0594
Dem,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,oppose,Disapp.,Don't know,Don't know,Dems. take House,Don't know,Don't know,Believe,agree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,50 to 64,Non-White,Rest,85 percent or higher,Landline,1,0.9912,0.9594,0.7819,0.9724
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,White,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,45 to 64,[DO NOT READ] Don't know/Refused,Other,Male,Not at all likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",50 to 64,White,Brookhaven,85 percent or higher,Landline,0,0.913,0.8602,0.3287,0.5397
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Brookhaven,85 percent or higher,Landline,1,0.9878,0.7542,0.3376,0.7667
Rep,50 to 64,Graduate or Professional Degree,White,Male,Hispanic,support,Approve,Support,support,Reps. keep House,Don't know,Don't know,Do not believe,agree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,50 to 64,White,Brookhaven,Less than 50 percent,Cell,1,0.15,0.7789,2.1432,1.149
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,Non-White,Rest,50 to 85 percent,Landline,1,0.6827,0.7048,0.5018,0.7213
Dem,65 and older,High school,Other,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,Non-White,Brookhaven,85 percent or higher,Landline,1,0.9335,1.4857,1.2805,1.5155
Rep,65 and older,Some college or trade school,White,Male,Other,support,Approve,Support,support,Reps. keep House,Don't know,Favorable,Do not believe,Don't know,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,Nonwhite,65 and older,White,Brookhaven,85 percent or higher,Landline,1,0.9632,1.0121,0.568,1.0208
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Favorable,Believe,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Brookhaven,50 to 85 percent,Landline,1,0.5516,1.2083,1.0768,1.3396
Rep,35 to 49,High school,White,Female,White,support,Approve,Don't know,support,Reps. keep House,Don't know,Favorable,Don't know,agree,45 to 64,High School Grad. or Less,Republican,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",35 to 49,White,Brookhaven,50 to 85 percent,Landline,1,0.8496,1.7232,1.5906,1.6462
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Cell,1,0.9336,0.9963,0.6225,1.0163
Rep,35 to 49,Graduate or Professional Degree,Other,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,Non-White,Rest,Less than 50 percent,Cell,1,0.4348,0.7305,1.2673,0.8479
Rep,35 to 49,Bachelors' degree,White,Male,White,support,Don't know,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,agree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Brookhaven,85 percent or higher,Cell,1,0.9044,0.8114,0.4025,0.8306
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Brookhaven,85 percent or higher,Cell,1,0.9522,0.9765,0.5941,0.9942
Dem,50 to 64,High school,White,Male,White,support,Disapp.,Check,support,Dems. take House,Favorable,Favorable,Don't know,disagree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Rest,50 to 85 percent,Cell,1,0.5755,1.39,1.577,1.5289
Dem,50 to 64,Some college or trade school,White,Male,White,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,Don't know,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Brookhaven,85 percent or higher,Cell,1,0.894,0.9765,0.6328,1.0009
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Favorable,Don't know,disagree,65 and older,Postgraduate Degree,Other,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",65 and older,White,Brookhaven,Less than 50 percent,Landline,0.5556,0.4093,0.8073,0.7599,0.5684
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Brookhaven,85 percent or higher,Cell,1,0.9662,0.8074,0.2899,0.8212
Rep,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Do not believe,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Brookhaven,85 percent or higher,Cell,1,0.8917,0.7817,0.3618,0.8016
Und,[DO NOT READ] Refused,Some college or trade school,Unknown,Female,White,oppose,Disapp.,Don't know,Don't know,Dems. take House,Don't know,Don't know,Don't know,agree,[DO NOT READ] Don't know/Refused,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",[DO NOT READ] Don't know/Refused,Unknown,Brookhaven,Less than 50 percent,Landline,0.7778,0.4128,0.9887,0.9547,1.0705
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Brookhaven,50 to 85 percent,Landline,1,0.8483,0.9035,0.3358,0.9326
Und,50 to 64,Some college or trade school,Hispanic,Male,White,support,Approve,Support,support,Reps. keep House,Don't know,Don't know,Do not believe,agree,45 to 64,Some College Educ.,Democratic,Male,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,Non-White,Brookhaven,85 percent or higher,Cell,1,0.9238,0.9746,0.79,0.9811
Und,50 to 64,Some college or trade school,Unknown,Male,White,oppose,Disapp.,Check,Don't know,Dems. take House,Don't know,Don't know,Believe,disagree,45 to 64,Some College Educ.,Other,Male,Not at all likely,Democrat,"White, No 4-Year College Degree",50 to 64,Unknown,Brookhaven,Less than 50 percent,Landline,0,0.1053,1.0588,3.8295,0.2218
Rep,65 and older,High school,White,Female,White,support,Approve,Support,Don't know,Don't know,Unfavorable,Favorable,Do not believe,agree,65 and older,High School Grad. or Less,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Brookhaven,50 to 85 percent,Landline,1,0.7785,1.6169,1.0797,1.6377
Dem,18 to 34,Bachelors' degree,White,Male,White,support,Approve,Check,support,Don't know,Don't know,Unfavorable,Don't know,agree,18 to 29,4-year College Grad.,Republican,Male,Somewhat likely,or as a member of another political party,"White, 4-Year College Grads",18 to 34,White,Brookhaven,Less than 50 percent,Cell,0.6667,0.0495,0.9768,3.1985,0.7809
Dem,65 and older,Some college or trade school,White,Female,White,Don't know,Disapp.,Don't know,Don't know,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.9395,1.013,0.6747,1.0326
Und,18 to 34,Bachelors' degree,Unknown,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,Unknown,Brookhaven,Less than 50 percent,Cell,1,0.1516,1.0942,3.56,1.6102
Und,50 to 64,Bachelors' degree,White,Female,White,Don't know,Disapp.,Support,support,Don't know,Don't know,Don't know,Don't know,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Brookhaven,50 to 85 percent,Landline,1,0.8313,0.9035,0.3426,0.9352
Rep,50 to 64,Some college or trade school,White,Male,White,Don't know,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Believe,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Brookhaven,Less than 50 percent,Landline,1,0.4408,1.0253,1.3497,1.1869
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Support,support,Reps. keep House,Don't know,Favorable,Do not believe,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Rest,50 to 85 percent,Cell,1,0.7793,0.7939,0.3839,0.8297
Dem,65 and older,High school,White,Male,White,support,Disapp.,Check,oppose,Dems. take House,Don't know,Don't know,Believe,agree,65 and older,High School Grad. or Less,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Brookhaven,Less than 50 percent,Landline,1,0.424,1.4651,2.1525,1.3513
Dem,50 to 64,High school,Hispanic,Female,White,Don't know,Don't know,Don't know,support,Don't know,Don't know,Don't know,Don't know,agree,45 to 64,High School Grad. or Less,Democratic,Female,Not at all likely,Democrat,"White, No 4-Year College Degree",50 to 64,Non-White,Brookhaven,50 to 85 percent,Landline,0.4444,0.7388,1.6041,1.7008,0.947
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Rest,50 to 85 percent,Landline,1,0.7854,0.7442,0.3567,0.7768
Rep,18 to 34,Bachelors' degree,White,Male,White,support,Don't know,Support,support,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",18 to 34,White,Brookhaven,Less than 50 percent,Landline,1,0.1857,0.9768,2.583,1.3691
Und,18 to 34,Bachelors' degree,White,Male,White,Don't know,Approve,Check,Don't know,Reps. keep House,Don't know,Don't know,Don't know,Don't know,18 to 29,4-year College Grad.,Other,Male,Not at all likely,Independent (No party),"White, 4-Year College Grads",18 to 34,White,Rest,50 to 85 percent,Landline,0.2222,0.5145,0.905,0.7138,0.3512
Rep,65 and older,Bachelors' degree,Unknown,Female,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,65 and older,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,Unknown,Brookhaven,50 to 85 percent,Landline,1,0.5163,0.9672,0.5152,1.02
Rep,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,support,Approve,Check,oppose,Reps. keep House,Unfavorable,Unfavorable,Don't know,agree,45 to 64,Some College Educ.,Republican,Male,Somewhat likely,Republican,Nonwhite,50 to 64,Non-White,Brookhaven,85 percent or higher,Landline,0.7778,0.8652,0.9586,0.7731,0.881
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Cell,1,0.9452,0.6959,0.351,0.709
Und,50 to 64,Bachelors' degree,White,Female,White,support,Don't know,Don't know,support,Don't know,Don't know,Don't know,Do not believe,agree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Brookhaven,50 to 85 percent,Landline,0.8889,0.701,0.877,0.3625,0.914
Und,65 and older,Bachelors' degree,White,Female,[DO NOT READ] Don't know/Refused,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,Believe,disagree,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,50 to 64,White,Brookhaven,50 to 85 percent,Landline,0.7778,0.5037,0.877,0.5045,0.8556
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,disagree,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Rest,Less than 50 percent,Landline,1,0.472,0.7332,0.5815,0.782
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Unknown,Brookhaven,85 percent or higher,Landline,1,0.9904,0.8073,0.3145,0.8208
Dem,50 to 64,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Brookhaven,85 percent or higher,Landline,1,0.8771,1.0592,0.7512,1.0883
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Approve,Support,support,Reps. keep House,Don't know,Favorable,Do not believe,agree,45 to 64,4-year College Grad.,Other,Female,Very likely,Republican,"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Cell,1,0.8926,0.7231,0.2785,0.7279
Dem,35 to 49,High school,White,Male,White,support,Don't know,Don't know,support,Dems. take House,Unfavorable,Unfavorable,Don't know,agree,30 to 44,High School Grad. or Less,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Rest,50 to 85 percent,Cell,1,0.5977,1.4466,1.8795,1.5002
Dem,65 and older,Some college or trade school,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Rest,50 to 85 percent,Landline,1,0.767,0.9787,0.6655,1.0253
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Support,support,Reps. keep House,Don't know,Favorable,Don't know,agree,45 to 64,Some College Educ.,Republican,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Brookhaven,50 to 85 percent,Cell,0.5556,0.5481,1.0927,1.0494,0.8106
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Don't know,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Brookhaven,85 percent or higher,Cell,1,0.9722,0.7568,0.2699,0.7695
Dem,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,Don't know,Dems. take House,Don't know,Don't know,Don't know,agree,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",35 to 49,White,Brookhaven,85 percent or higher,Cell,0.8889,0.9321,0.8802,0.4548,0.8789
Rep,18 to 34,High school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Do not believe,disagree,18 to 29,High School Grad. or Less,Republican,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",18 to 34,White,Rest,50 to 85 percent,Cell,0.7778,0.6522,1.7694,2.3046,1.5147
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,Don't know,Approve,Don't know,Don't know,Reps. keep House,Unfavorable,Favorable,Don't know,Don't know,45 to 64,[DO NOT READ] Don't know/Refused,Other,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,50 to 64,White,Brookhaven,50 to 85 percent,Cell,1,0.6757,0.9626,0.4516,1.0294
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,Don't know,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Brookhaven,85 percent or higher,Cell,1,0.901,0.7695,0.3177,0.788
Rep,65 and older,Some college or trade school,White,Female,Asian,support,Approve,Support,Don't know,Reps. keep House,Don't know,Favorable,Don't know,Don't know,65 and older,Some College Educ.,Republican,Female,Somewhat likely,Republican,Nonwhite,65 and older,White,Brookhaven,85 percent or higher,Landline,1,0.9124,1.0798,0.6402,1.0477
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Brookhaven,85 percent or higher,Cell,0.8889,0.8604,0.7953,0.493,0.7904
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Favorable,Do not believe,Don't know,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest,50 to 85 percent,Cell,1,0.6929,0.9787,0.7367,1.0422
Dem,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,oppose,Disapp.,Check,support,Dems. take House,Favorable,Favorable,Don't know,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,Non-White,Brookhaven,85 percent or higher,Landline,1,0.8594,1.0398,0.9066,1.0713
Rep,35 to 49,Bachelors' degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,disagree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Rest,85 percent or higher,Cell,1,0.9294,0.7988,0.416,0.8151
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,65 and older,Some College Educ.,Republican,Male,Very likely,or as a member of another political party,"White, No 4-Year College Degree",65 and older,White,Brookhaven,Less than 50 percent,Landline,1,0.4718,1.0949,1.3672,1.1678
Und,35 to 49,Graduate or Professional Degree,Asian,Female,Asian,support,Disapp.,Check,Don't know,Don't know,Don't know,Don't know,Don't know,agree,45 to 64,Postgraduate Degree,Other,Female,Somewhat likely,Independent (No party),Nonwhite,35 to 49,Non-White,Rest,Less than 50 percent,Cell,0.3333,0.148,0.7564,3.4987,0.405
Rep,50 to 64,High school,White,Female,White,oppose,Don't know,Support,oppose,Dems. take House,Unfavorable,Unfavorable,Don't know,agree,45 to 64,High School Grad. or Less,Other,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Brookhaven,Less than 50 percent,Landline,0,0.142,1.5079,6.7167,0.3237
Dem,18 to 34,Bachelors' degree,White,Female,Hispanic,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 34,White,Brookhaven,85 percent or higher,Landline,1,0.9724,0.9795,0.4875,0.9889
