response,ager,educ,file_race,gender,race_eth,ABOLOISHICE,AFRAID,approve,ASSAULTW,CONIMMIG,ENGLISH,genballot,hdem_fav,hrep_fav,IMMCRIME,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,Hispanic,Santa Clarita,50 to 85 percent,Cell,0.8889,0.8437,1.0857,0.6643,1.0904
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Support,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Santa Clarita,85 percent or higher,Landline,1,0.9086,0.8632,0.4068,0.8688
Dem,65 and older,Some college or trade school,Hispanic,Male,Hispanic,Support,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,65 and older,Hispanic,Lancaster/Palmdale,85 percent or higher,Cell,1,0.9745,0.5332,0.2129,0.5298
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,35 to 49,Hispanic,Lancaster/Palmdale,85 percent or higher,Cell,1,0.94,0.275,0.0782,0.2758
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,30 to 44,Postgraduate Degree,Other,Female,Very likely,Democrat,Nonwhite,35 to 49,Hispanic,Rest of LA County,50 to 85 percent,Cell,1,0.7681,0.54990000000000006,0.2276,0.5484
Dem,18 to 34,High school,Hispanic,Male,Hispanic,Oppose,disagree,Approve,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,High School Grad. or Less,Democratic,Male,Not at all likely,Democrat,Nonwhite,18 to 34,Hispanic,Rest of LA County,Less than 50 percent,Landline,0.3333,0.3223,1.5384,3.0653,0.5431
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Santa Clarita,85 percent or higher,Landline,1,0.9785,0.9089,0.3958,0.909
Und,35 to 49,Bachelors' degree,Hispanic,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Don't know,Don't know,Don't know,disagree,30 to 44,4-year College Grad.,Other,Female,Not at all likely,Independent (No party),"White, 4-Year College Grads",35 to 49,Hispanic,Ventura/Simi Valley,Less than 50 percent,Cell,0,0.4944,0.9762,1.0126,0.2956
Und,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Oppose,disagree,Don't know,support,Oppose,agree,Don't know,Don't know,Don't know,agree,18 to 29,4-year College Grad.,Other,Male,Not at all likely,or as a member of another political party,Nonwhite,18 to 34,Hispanic,Lancaster/Palmdale,Less than 50 percent,Cell,0,0.0346,0.3616,1.0945,0.0753
Dem,65 and older,Some college or trade school,Hispanic,Female,White,Don't know,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,Hispanic,Rest of LA County,50 to 85 percent,Landline,1,0.8044,0.9223,0.4778,0.9437
Rep,65 and older,Some college or trade school,White,Female,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Unfavorable,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Lancaster/Palmdale,50 to 85 percent,Landline,1,0.8463,1.0633,0.6763,1.0801
Dem,18 to 34,Bachelors' degree,Hispanic,Female,Hispanic,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,18 to 34,Hispanic,Santa Clarita,50 to 85 percent,Cell,1,0.8285,0.5101,0.3381,0.5197
Dem,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,50 to 64,Hispanic,Santa Clarita,85 percent or higher,Cell,1,0.9583,0.9271,0.3867,0.9195
Und,65 and older,Grade school,Hispanic,Male,Hispanic,Support,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Favorable,disagree,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,65 and older,Hispanic,Lancaster/Palmdale,85 percent or higher,Landline,0.8889,0.9624,0.9495,0.469,0.9369
Rep,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,18 to 34,Hispanic,Lancaster/Palmdale,Less than 50 percent,Cell,1,0.1309,0.3616,1.0945,0.5424
Dem,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,35 to 49,Hispanic,Santa Clarita,85 percent or higher,Cell,1,0.9505,0.9879,0.5495,0.9793
Und,50 to 64,High school,White,Male,White,Support,disagree,Approve,oppose,Don't know,agree,Reps. keep House,Don't know,Don't know,agree,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Santa Clarita,85 percent or higher,Landline,1,0.9524,2.5978,1.5342,2.5755
Dem,65 and older,Some college or trade school,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest of LA County,85 percent or higher,Landline,1,0.9691,1.2451,0.5542,1.2456
Und,[DO NOT READ] Refused,Some college or trade school,Asian,Male,Asian,Support,disagree,Disapp.,support,Oppose,disagree,Don't know,Don't know,Don't know,disagree,18 to 29,Some College Educ.,Republican,Male,Somewhat likely,Independent (No party),Nonwhite,18 to 34,Other Non-White,Santa Clarita,Less than 50 percent,Cell,0.2222,0.3091,0.9631,2.122,0.4883
Rep,35 to 49,Graduate or Professional Degree,Other,Male,White,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Don't know,Favorable,agree,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,Other Non-White,Ventura/Simi Valley,85 percent or higher,Cell,1,0.9321,0.5064,0.1915,0.5082
Rep,50 to 64,High school,Asian,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,disagree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,Other Non-White,Rest of LA County,85 percent or higher,Cell,1,0.9771,1.8101,1.0755,1.8103
Rep,50 to 64,Some college or trade school,Other,Female,Other,Don't know,agree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,50 to 64,Other Non-White,Lancaster/Palmdale,50 to 85 percent,Cell,0.7778,0.7962,0.8165,0.5846,0.8114
Und,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Support,disagree,Disapp.,oppose,Support,disagree,Don't know,Don't know,Don't know,Don't know,30 to 44,Postgraduate Degree,Republican,Female,Not at all likely,Independent (No party),Nonwhite,35 to 49,Hispanic,Santa Clarita,Less than 50 percent,Cell,0,0.1515,1.0249,3.2716,0.218
Dem,35 to 49,Bachelors' degree,Asian,Male,White,Don't know,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,Other Non-White,Santa Clarita,85 percent or higher,Cell,1,0.9617,0.6801,0.3615,0.6807
Rep,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Don't know,Don't know,Favorable,disagree,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),Nonwhite,50 to 64,Hispanic,Lancaster/Palmdale,Less than 50 percent,Cell,0.6667,0.1662,0.9605,2.8998,0.9391
Dem,18 to 34,Bachelors' degree,Hispanic,Female,Hispanic,Support,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 34,Hispanic,Santa Clarita,50 to 85 percent,Cell,1,0.7556,0.5101,0.3703,0.5093
Rep,18 to 34,High school,Other,Male,Black,Oppose,disagree,Approve,oppose,Oppose,disagree,Reps. keep House,Unfavorable,Favorable,agree,18 to 29,High School Grad. or Less,Republican,Male,Very likely,Republican,Nonwhite,18 to 34,Other Non-White,Santa Clarita,50 to 85 percent,Cell,0.7778,0.8342,1.1406,0.9202,1.095
Rep,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Oppose,Don't know,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,50 to 64,Hispanic,Lancaster/Palmdale,Less than 50 percent,Cell,1,0.3701,1.0239,1.3107,1.2086
Dem,50 to 64,Bachelors' degree,Asian,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Other Non-White,Ventura/Simi Valley,85 percent or higher,Cell,1,0.988,0.7685,0.4214,0.7686
Und,[DO NOT READ] Refused,Graduate or Professional Degree,Other,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Don't know,Don't know,Don't know,disagree,45 to 64,Postgraduate Degree,Other,Female,Not very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,Other Non-White,Rest of LA County,Less than 50 percent,Cell,0.4444,0.2971,0.9303,1.3891,0.4508
Dem,18 to 34,Bachelors' degree,Hispanic,Female,Hispanic,Don't know,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),Nonwhite,18 to 34,Hispanic,Lancaster/Palmdale,Less than 50 percent,Cell,1,0.1183,0.417,1.5717,0.6411
Rep,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,Nonwhite,50 to 64,Hispanic,Lancaster/Palmdale,50 to 85 percent,Cell,1,0.6481,0.5539,0.2783,0.5869
Dem,50 to 64,Bachelors' degree,White,Male,Black,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,White,Lancaster/Palmdale,85 percent or higher,Landline,1,0.9702,0.6584,0.2848,0.6587
Rep,35 to 49,Some college or trade school,Asian,Male,Asian,Oppose,agree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,35 to 49,Other Non-White,Ventura/Simi Valley,85 percent or higher,Cell,1,0.9755,0.8577,0.4215,0.8578
Rep,50 to 64,Graduate or Professional Degree,Asian,Female,White,Oppose,disagree,Don't know,support,Support,disagree,Reps. keep House,Don't know,Favorable,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,Other Non-White,Rest of LA County,85 percent or higher,Landline,1,0.8766,0.6921,0.3394,0.6997
Und,[DO NOT READ] Refused,Bachelors' degree,Other,Male,Hispanic,Don't know,disagree,Don't know,Don't know,Don't know,disagree,Don't know,Don't know,Don't know,Don't know,45 to 64,4-year College Grad.,Other,Male,Somewhat likely,or as a member of another political party,Nonwhite,50 to 64,Other Non-White,Lancaster/Palmdale,Less than 50 percent,Cell,0.5556,0.2092,0.6612,1.529,0.4342
Rep,50 to 64,Graduate or Professional Degree,Other,Male,White,Oppose,agree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Postgraduate Degree,Republican,Male,Very likely,or as a member of another political party,"White, 4-Year College Grads",50 to 64,Other Non-White,Ventura/Simi Valley,85 percent or higher,Cell,1,0.9626,0.548,0.1886,0.5438
Dem,18 to 34,High school,Hispanic,Female,Hispanic,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Reps. keep House,Favorable,Unfavorable,disagree,18 to 29,High School Grad. or Less,Other,Female,Very likely,Democrat,Nonwhite,18 to 34,Hispanic,Lancaster/Palmdale,Less than 50 percent,Cell,0.4444,0.0898,0.9725,4.5247,0.8289
Dem,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Oppose,agree,Approve,support,Oppose,agree,Reps. keep House,Don't know,Unfavorable,agree,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,Nonwhite,65 and older,Hispanic,Lancaster/Palmdale,Less than 50 percent,Cell,1,0.2641,0.8789,1.7103,1.1168
Dem,65 and older,Bachelors' degree,White,Female,White,Don't know,disagree,Disapp.,support,Don't know,Don't know,Don't know,Don't know,Unfavorable,disagree,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Ventura/Simi Valley,85 percent or higher,Landline,1,0.9571,0.8658,0.4075,0.8669
Rep,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Oppose,disagree,Approve,oppose,Support,Don't know,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,50 to 64,Hispanic,Lancaster/Palmdale,85 percent or higher,Cell,1,0.9069,0.6196,0.2677,0.6238
Dem,65 and older,Some college or trade school,White,Female,Hispanic,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,65 and older,Some College Educ.,Democratic,Female,Not at all likely,Democrat,Nonwhite,65 and older,White,Santa Clarita,50 to 85 percent,Landline,0,0.5813,1.5911,1.5047,0.5362
Rep,65 and older,Bachelors' degree,Hispanic,Female,White,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Favorable,Favorable,disagree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Hispanic,Santa Clarita,85 percent or higher,Landline,1,0.9803,0.7942,0.4261,0.7943
Dem,65 and older,Bachelors' degree,White,Male,White,Don't know,Don't know,Disapp.,support,Don't know,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Santa Clarita,85 percent or higher,Landline,1,0.9737,0.8291,0.3403,0.8293
Dem,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Support,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,Some College Educ.,Democratic,Male,Very likely,Independent (No party),Nonwhite,18 to 34,Hispanic,Lancaster/Palmdale,Less than 50 percent,Cell,1,0.3252,0.5475,0.8713,0.6059
Dem,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,18 to 34,Hispanic,Lancaster/Palmdale,Less than 50 percent,Cell,1,0.3473,0.5475,0.8162,0.5998
Dem,18 to 34,Graduate or Professional Degree,Hispanic,Female,Hispanic,Support,agree,Disapp.,support,Support,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,18 to 34,Hispanic,Lancaster/Palmdale,50 to 85 percent,Cell,1,0.7253,0.2479,0.1314,0.2578
Dem,18 to 34,Some college or trade school,Black,Male,Black,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,agree,18 to 29,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,18 to 34,Other Non-White,Lancaster/Palmdale,Less than 50 percent,Cell,0.7778,0.2217,0.5693,1.5959,0.5847
Und,18 to 34,Bachelors' degree,Other,Female,White,Support,agree,Disapp.,oppose,Oppose,agree,Don't know,Unfavorable,Unfavorable,disagree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,Other Non-White,Lancaster/Palmdale,Less than 50 percent,Cell,1,0.1729,0.4335,1.7058,0.6081
Rep,18 to 34,Some college or trade school,Hispanic,Female,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,18 to 29,Some College Educ.,Republican,Female,Not at all likely,Republican,"White, No 4-Year College Degree",18 to 34,Hispanic,Rest of LA County,50 to 85 percent,Cell,0.4444,0.7783,0.7045,0.4887,0.4293
Dem,50 to 64,Some college or trade school,Black,Female,White,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,Other Non-White,Rest of LA County,85 percent or higher,Landline,1,0.8644,0.9535,0.5523,0.9658
Rep,65 and older,Bachelors' degree,Hispanic,Female,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Hispanic,Ventura/Simi Valley,85 percent or higher,Cell,1,0.982,0.7192,0.3497,0.7192
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Don't know,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Ventura/Simi Valley,85 percent or higher,Landline,1,0.9541,0.6345,0.1733,0.6355
Dem,50 to 64,Some college or trade school,Other,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,Other Non-White,Lancaster/Palmdale,85 percent or higher,Cell,1,0.9738,0.6987,0.4057,0.6988
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Female,Hispanic,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,Hispanic,Ventura/Simi Valley,85 percent or higher,Cell,1,0.8919,0.5282,0.2087,0.5328
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Don't know,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,Unknown,Rest of LA County,Less than 50 percent,Landline,1,0.4369,1.3063,1.8622,1.4903
Dem,35 to 49,Bachelors' degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Rest of LA County,85 percent or higher,Landline,1,0.9297,1.1069,0.6635,1.1112
Rep,50 to 64,Bachelors' degree,Hispanic,Female,Hispanic,Oppose,agree,Approve,oppose,Oppose,disagree,Reps. keep House,Unfavorable,Favorable,Don't know,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),Nonwhite,50 to 64,Hispanic,Lancaster/Palmdale,85 percent or higher,Cell,1,0.8862,0.4438,0.2085,0.448
Rep,65 and older,High school,White,Female,White,Oppose,agree,Approve,support,Support,agree,Reps. keep House,Don't know,Don't know,disagree,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Lancaster/Palmdale,85 percent or higher,Landline,1,0.9537,1.7229,1.2241,1.7082
Rep,65 and older,Some college or trade school,Hispanic,Male,Hispanic,Oppose,disagree,Approve,support,Oppose,disagree,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,Nonwhite,65 and older,Hispanic,Santa Clarita,85 percent or higher,Cell,1,0.8668,0.9021,0.4398,0.894
Rep,50 to 64,Some college or trade school,White,Female,White,Oppose,disagree,Approve,support,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Santa Clarita,85 percent or higher,Landline,1,0.9791,1.6823,0.9779,1.6727
Dem,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,Hispanic,Santa Clarita,Less than 50 percent,Cell,1,0.4235,1.532,1.7548,1.7588
Rep,50 to 64,Some college or trade school,Hispanic,Female,White,Oppose,agree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,Hispanic,Lancaster/Palmdale,50 to 85 percent,Landline,1,0.6847,0.7853,0.5436,0.8243
