response,ager,educ,file_race,gender,race_eth,APPKAV,approve,genballot,hdem_fav,hrep_fav,NAFTA,TARIFF,TAXREFORM,TRUMPECON,TXHORSERACE,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedd,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,65 and older,Bachelors' degree,Unknown,Male,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,Unknown,"Dallas, Clinton",85 percent or higher,Cell,1,0.9939,0.5404,0.3677,0.5408
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Don't know,Oppose,Oppose,disagree,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Rest, Trump",85 percent or higher,Cell,1,0.9861,0.6322,0.1959,0.6295
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,Ted Cruz,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",45 to 64,No 4-year College Degree,White,"Dallas, Clinton",85 percent or higher,Landline,1,0.9671,1.1843,0.9171,1.1852
Rep,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Reps. keep House,Don't know,Favorable,Support,Don't know,Support,disagree,Ted Cruz,65 and older,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Rest, Clinton",85 percent or higher,Landline,1,0.8959,0.7363,0.2875,0.7293
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Female,Black,oppose,Don't know,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,Beto O'Rourke,45 to 64,4-year College Grad.,Other,Female,Almost certain,or as a member of another political party,Nonwhite,45 to 64,4-year College Grad.,White,"Dallas, Clinton",50 to 85 percent,Cell,1,0.6083,0.9841,0.9417,1.0545
Rep,65 and older,Some college or trade school,White,Male,White,Don't know,Disapp.,Don't know,Don't know,Favorable,Don't know,Oppose,Oppose,disagree,Beto O'Rourke,65 and older,Some College Educ.,Other,Male,Not at all likely,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Rest, Clinton",Less than 50 percent,Landline,0,0.0922,1.6891,6.2441,0.346
Rep,18 to 34,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Favorable,Support,Oppose,Don't know,agree,Beto O'Rourke,18 to 29,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 44,Postgraduate Degree,White,"Rest, Trump",Less than 50 percent,Cell,1,0.2255,1.5779,2.8128,2.0792
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,agree,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,Unknown,"Rest, Trump",85 percent or higher,Landline,1,0.9969,0.4297,0.1911,0.4303
Und,18 to 34,Graduate or Professional Degree,Black,Female,Black,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Oppose,Oppose,Oppose,disagree,Beto O'Rourke,18 to 29,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 44,Postgraduate Degree,Other Non-White,"Dallas, Clinton",50 to 85 percent,Landline,1,0.6205,0.6339,0.4728,0.6769
Rep,50 to 64,Bachelors' degree,Unknown,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Oppose,Don't know,agree,Ted Cruz,45 to 64,4-year College Grad.,Other,Male,Somewhat likely,Republican,"White, 4-Year College Grads",45 to 64,4-year College Grad.,Unknown,"Dallas, Clinton",50 to 85 percent,Cell,0.6667,0.7011,0.6982,0.8526,0.5714
Und,18 to 34,Graduate or Professional Degree,White,Male,Hispanic,support,Approve,Reps. keep House,Unfavorable,Unfavorable,Oppose,Support,Support,agree,Don't know,18 to 29,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 44,Postgraduate Degree,White,"Rest, Trump",50 to 85 percent,Landline,1,0.8281,0.907,0.277,0.9006
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Don't know,Oppose,Oppose,disagree,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Cell,1,0.9235,0.8464,0.3451,0.8504
Und,35 to 49,Bachelors' degree,Asian,Male,Asian,support,Disapp.,Reps. keep House,Don't know,Don't know,Oppose,Support,Support,agree,Beto O'Rourke,30 to 44,4-year College Grad.,Other,Male,Somewhat likely,Independent (No party),Nonwhite,18 to 44,4-year College Grad.,Other Non-White,"Dallas, Trump",50 to 85 percent,Cell,0.6667,0.5618,1.6553,2.4372,1.2903
Dem,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,agree,Beto O'Rourke,45 to 64,Some College Educ.,Democratic,Male,Very likely,Independent (No party),Nonwhite,45 to 64,No 4-year College Degree,Hispanic,"Rest, Clinton",85 percent or higher,Cell,1,0.9813,0.6939,0.4638,0.6903
Dem,35 to 49,Bachelors' degree,Black,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Don't know,Oppose,Don't know,Don't know,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",45 to 64,4-year College Grad.,Other Non-White,"Rest, Clinton",85 percent or higher,Cell,1,0.9889,0.4664,0.2869,0.4648
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,Beto O'Rourke,65 and older,Some College Educ.,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Rest, Trump",50 to 85 percent,Landline,1,0.8264,1.7393,1.104,1.7273
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,Beto O'Rourke,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 44,4-year College Grad.,White,"Dallas, Trump",85 percent or higher,Cell,1,0.9897,1.3109,0.6106,1.3114
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Don't know,Support,agree,Ted Cruz,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,"Dallas, Trump",85 percent or higher,Cell,1,0.9351,1.0048,0.616,1.0083
Dem,50 to 64,Graduate or Professional Degree,Black,Male,Black,oppose,Disapp.,Dems. take House,Favorable,Favorable,Support,Don't know,Oppose,disagree,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,45 to 64,Postgraduate Degree,Other Non-White,"Dallas, Clinton",85 percent or higher,Cell,1,0.9188,0.3825,0.2599,0.3845
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Don't know,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Oppose,agree,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Landline,1,0.992,0.9976,0.5115,0.9951
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Don't know,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,Ted Cruz,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Cell,1,0.9028,0.9557,0.5305,0.9628
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Oppose,Support,agree,Ted Cruz,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 44,Postgraduate Degree,White,"Rest, Clinton",Less than 50 percent,Cell,1,0.3174,1.1992,1.2049,1.4632
Dem,65 and older,Bachelors' degree,Black,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Support,disagree,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,Other Non-White,"Rest, Clinton",85 percent or higher,Cell,1,0.9741,0.5869,0.3358,0.5872
Rep,35 to 49,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Support,Support,agree,Ted Cruz,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",45 to 64,No 4-year College Degree,White,"Rest, Clinton",Less than 50 percent,Cell,0,0.1989,1.1924,2.9779,0.7933
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Support,Support,agree,Ted Cruz,65 and older,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Dallas, Clinton",Less than 50 percent,Cell,1,0.4341,1.006,1.0755,1.0675
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Support,agree,Ted Cruz,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",45 to 64,No 4-year College Degree,White,"Rest, Trump",85 percent or higher,Cell,1,0.976,1.316,0.8248,1.3164
Dem,50 to 64,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,Beto O'Rourke,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,"Rest, Trump",Less than 50 percent,Cell,1,0.295,1.2414,2.2158,1.5391
Und,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Don't know,Disapp.,Don't know,Favorable,Unfavorable,Support,Don't know,Don't know,disagree,Beto O'Rourke,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",45 to 64,Postgraduate Degree,White,"Rest, Trump",85 percent or higher,Cell,1,0.9927,0.7139,0.2892,0.7143
Rep,65 and older,High school,White,Male,White,support,Approve,Reps. keep House,Don't know,Don't know,Oppose,Support,Support,agree,Ted Cruz,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",45 to 64,No 4-year College Degree,White,"Dallas, Clinton",85 percent or higher,Cell,1,0.9438,1.1843,0.9394,1.1874
Dem,[DO NOT READ] Refused,Bachelors' degree,Black,Male,[DO NOT READ] Don't know/Refused,Don't know,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,disagree,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,45 to 64,4-year College Grad.,Other Non-White,"Dallas, Clinton",85 percent or higher,Cell,1,0.8789,0.5121,0.4526,0.5074
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,Asian,Female,[DO NOT READ] Don't know/Refused,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Don't know,Don't know,agree,Ted Cruz,65 and older,Postgraduate Degree,Republican,Female,Somewhat likely,Republican,[DO NOT READ] Don't know/Refused,65 and older,Postgraduate Degree,Other Non-White,"Rest, Trump",50 to 85 percent,Landline,0.7778,0.6633,0.651,0.4212,0.54990000000000006
Dem,50 to 64,Bachelors' degree,Black,Female,Black,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,45 to 64,4-year College Grad.,Other Non-White,"Rest, Trump",85 percent or higher,Cell,1,0.9867,0.5452,0.3487,0.5453
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,Ted Cruz,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",45 to 64,No 4-year College Degree,White,"Rest, Trump",85 percent or higher,Cell,1,0.9785,1.316,0.8227,1.3163
Rep,35 to 49,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,Ted Cruz,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",45 to 64,No 4-year College Degree,White,"Dallas, Clinton",85 percent or higher,Cell,1,0.9119,1.1347,0.919,1.1237
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",45 to 64,Postgraduate Degree,White,"Dallas, Clinton",85 percent or higher,Cell,1,0.9898,0.6424,0.3186,0.6404
Rep,65 and older,Bachelors' degree,White,Female,White,oppose,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,Ted Cruz,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Rest, Clinton",85 percent or higher,Landline,1,0.8676,0.9858,0.496,0.9981
Dem,[DO NOT READ] Refused,Some college or trade school,White,Female,Black,Don't know,Disapp.,Dems. take House,Favorable,Don't know,Don't know,Don't know,Support,agree,Ted Cruz,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,45 to 64,No 4-year College Degree,White,"Dallas, Clinton",85 percent or higher,Landline,1,0.9867,0.8334,0.5134,0.8336
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Disapp.,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,Ted Cruz,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,"Dallas, Trump",85 percent or higher,Cell,1,0.9617,1.0048,0.5994,1.0058
Dem,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,"Dallas, Trump",85 percent or higher,Landline,1,0.9901,0.738,0.3536,0.7358
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Don't know,agree,Ted Cruz,65 and older,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Rest, Trump",85 percent or higher,Landline,1,0.9855,0.8607,0.3183,0.857
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,Don't know,Beto O'Rourke,45 to 64,Postgraduate Degree,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",45 to 64,Postgraduate Degree,White,"Rest, Trump",50 to 85 percent,Landline,1,0.705,0.8168,0.4388,0.8202
Dem,65 and older,Bachelors' degree,White,Female,Black,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,Beto O'Rourke,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),Nonwhite,65 and older,4-year College Grad.,White,"Rest, Clinton",Less than 50 percent,Cell,1,0.3986,1.2268,1.3954,1.4261
Rep,35 to 49,Some college or trade school,White,Male,White,Don't know,Approve,Reps. keep House,Don't know,Don't know,Don't know,Support,Support,agree,Ted Cruz,30 to 44,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",18 to 44,No 4-year College Degree,White,"Rest, Trump",Less than 50 percent,Cell,0.7778,0.08,2.9089,10,3.4345
Dem,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,disagree,Beto O'Rourke,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,"Rest, Trump",50 to 85 percent,Cell,1,0.8177,0.9308,0.4475,0.9248
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,support,Disapp.,Reps. keep House,Favorable,Favorable,Support,Oppose,Support,agree,Beto O'Rourke,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",45 to 64,Postgraduate Degree,White,"Rest, Trump",85 percent or higher,Cell,1,0.8511,0.7451,0.3535,0.7563
Dem,18 to 34,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,agree,Beto O'Rourke,30 to 44,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",18 to 44,4-year College Grad.,White,"Rest, Clinton",85 percent or higher,Cell,1,0.9369,1.5159,0.7697,1.5019
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Approve,Reps. keep House,Don't know,Unfavorable,Oppose,Support,Support,agree,Ted Cruz,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,"Dallas, Trump",85 percent or higher,Cell,1,0.8677,1.0048,0.6626,1.0173
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,Beto O'Rourke,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,"Dallas, Trump",Less than 50 percent,Landline,1,0.2298,1.2504,3.2391,1.6404
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Support,Support,agree,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",45 to 64,Postgraduate Degree,White,"Dallas, Clinton",50 to 85 percent,Cell,1,0.5521,0.653,0.4527,0.7122
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Dallas, Clinton",85 percent or higher,Landline,1,0.9962,0.7617,0.3528,0.7626
Rep,35 to 49,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Support,Support,agree,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Cell,1,0.8878,0.9976,0.5697,1.007
Und,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,45 to 64,Postgraduate Degree,White,"Rest, Trump",50 to 85 percent,Landline,1,0.5572,0.7256,0.4079,0.79
Dem,50 to 64,Bachelors' degree,White,Male,Black,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,disagree,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,45 to 64,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Cell,1,0.9493,0.7327,0.3245,0.7342
Dem,18 to 34,Graduate or Professional Degree,Other,Female,White,oppose,Disapp.,Dems. take House,Unfavorable,Unfavorable,Oppose,Oppose,Oppose,agree,Beto O'Rourke,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 44,Postgraduate Degree,Other Non-White,"Dallas, Trump",85 percent or higher,Cell,1,0.9341,0.7604,0.4527,0.7631
Dem,50 to 64,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,Beto O'Rourke,45 to 64,Some College Educ.,Democratic,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",45 to 64,No 4-year College Degree,White,"Dallas, Clinton",85 percent or higher,Cell,1,0.9925,0.8699,0.5394,0.8704
Und,65 and older,Bachelors' degree,Black,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,Don't know,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,Other Non-White,"Rest, Trump",85 percent or higher,Cell,1,0.9798,0.6861,0.4055,0.6862
Rep,65 and older,Bachelors' degree,White,Female,White,support,Disapp.,Reps. keep House,Don't know,Favorable,Don't know,Don't know,Support,agree,Ted Cruz,65 and older,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Rest, Clinton",85 percent or higher,Landline,1,0.9683,0.9858,0.446,0.9788
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,Beto O'Rourke,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",45 to 64,Postgraduate Degree,White,"Rest, Clinton",Less than 50 percent,Cell,1,0.3762,0.76,0.7941,0.8942
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Cell,1,0.9604,0.9976,0.5278,0.9987
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,support,Disapp.,Reps. keep House,Favorable,Favorable,Support,Oppose,Support,agree,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",45 to 64,Postgraduate Degree,White,"Rest, Trump",85 percent or higher,Cell,1,0.9821,0.7139,0.2922,0.714
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Support,Support,agree,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",45 to 64,Postgraduate Degree,White,"Rest, Trump",85 percent or higher,Cell,1,0.9781,0.7451,0.3096,0.7453
