response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,FEMINISM,genballot,hdem_fav,hrep_fav,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Und,50 to 64,[DO NOT READ] Refused,White,Female,White,Don't know,Approve,Support,Don't know,Don't know,Favorable,Favorable,Don't know,45 to 64,[DO NOT READ] Don't know/Refused,Other,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",50 to 64,White,Hamilton,50 to 85 percent,Cell,1,0.7852,1.0031,1.1391,1.0352
Dem,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Warren,50 to 85 percent,Cell,0.1111,0.7552,1.0243,0.6303,0.8657
Dem,35 to 49,Some college or trade school,Asian,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",35 to 49,Non-White,Warren,50 to 85 percent,Landline,1,0.7725,1.1001,0.7064,1.1382
Dem,65 and older,High school,Black,Female,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Democrat,Nonwhite,50 to 64,Non-White,Cincinnati,50 to 85 percent,Landline,0.7778,0.5052,1.5954,2.5281,1.6638
Rep,65 and older,Graduate or Professional Degree,Black,Male,White,support,Approve,Support,support,Don't know,Unfavorable,Favorable,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Non-White,Hamilton,85 percent or higher,Landline,1,0.97,0.6987,0.313,0.7025
Rep,50 to 64,Some college or trade school,White,Female,Hispanic,support,Approve,Support,support,Reps. keep House,Favorable,Favorable,agree,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,Nonwhite,50 to 64,White,Hamilton,50 to 85 percent,Landline,1,0.6204,0.957,0.6064,0.9775
Dem,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Hamilton,85 percent or higher,Cell,1,0.9813,0.7147,0.4083,0.7184
Dem,50 to 64,Some college or trade school,Black,Female,Black,oppose,Disapp.,Check,support,Dems. take House,Unfavorable,Unfavorable,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,Non-White,Cincinnati,85 percent or higher,Landline,1,0.9881,0.7675,0.4009,0.7715
Dem,65 and older,High school,Black,Female,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,Non-White,Cincinnati,85 percent or higher,Landline,0,0.9815,1.4175,1.1258,1.3658
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,agree,65 and older,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,Hamilton,85 percent or higher,Landline,1,0.9405,0.6767,0.3221,0.6738
Dem,18 to 34,Some college or trade school,Black,Female,Other,Don't know,Disapp.,Don't know,oppose,Dems. take House,Favorable,Unfavorable,Don't know,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,18 to 34,Non-White,Hamilton,50 to 85 percent,Cell,1,0.6122,1.213,0.9319,1.3047
Dem,18 to 34,Some college or trade school,White,Male,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Favorable,agree,18 to 29,Some College Educ.,Other,Male,Almost certain,Democrat,Nonwhite,18 to 34,White,Cincinnati,50 to 85 percent,Landline,1,0.8389,1.3145,1.203,1.3436
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Unknown,Hamilton,85 percent or higher,Landline,1,0.9845,0.9137,0.4251,0.9184
Rep,65 and older,Some college or trade school,Unknown,Male,White,support,Approve,Support,oppose,Reps. keep House,Favorable,Favorable,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,Unknown,Hamilton,85 percent or higher,Landline,1,0.984,1.0416,0.4991,1.0469
Dem,18 to 34,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,oppose,Dems. take House,Favorable,Unfavorable,agree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,White,Warren,Less than 50 percent,Cell,1,0.4969,1.1906,1.3339,1.3309
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Hamilton,85 percent or higher,Cell,1,0.9572,0.6569,0.2926,0.661
Rep,35 to 49,High school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Unfavorable,agree,30 to 44,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Hamilton,Less than 50 percent,Cell,1,0.3036,1.4973,5.2706,1.8536
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,Warren,85 percent or higher,Landline,1,0.9682,0.8737,0.3917,0.8718
Dem,35 to 49,Graduate or Professional Degree,Other,Male,Asian,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,35 to 49,Non-White,Warren,85 percent or higher,Cell,1,0.9112,0.8112,0.4902,0.8202
Rep,65 and older,High school,Unknown,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,agree,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,Unknown,Hamilton,85 percent or higher,Landline,1,0.9542,1.7384,1.2034,1.7322
Dem,50 to 64,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Cincinnati,85 percent or higher,Landline,1,0.9769,0.7677,0.3901,0.7717
Rep,65 and older,High school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Hamilton,85 percent or higher,Landline,1,0.9863,1.3798,0.9232,1.3869
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Hamilton,85 percent or higher,Landline,1,0.9803,0.6554,0.2842,0.6587
Dem,50 to 64,Graduate or Professional Degree,White,Female,Black,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,50 to 64,White,Warren,85 percent or higher,Cell,1,0.9163,0.7877,0.3449,0.7839
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Warren,85 percent or higher,Cell,1,0.9585,0.8036,0.307,0.8086
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Hamilton,85 percent or higher,Cell,1,0.9008,0.7183,0.317,0.7273
Und,50 to 64,Graduate or Professional Degree,Unknown,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Favorable,agree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Unknown,Hamilton,85 percent or higher,Cell,0.8889,0.871,0.7473,0.436,0.7522
Dem,18 to 34,Graduate or Professional Degree,Unknown,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,18 to 29,Postgraduate Degree,Republican,Male,Very likely,or as a member of another political party,"White, 4-Year College Grads",18 to 34,Unknown,Hamilton,Less than 50 percent,Cell,1,0.4505,1.3576,1.6384,1.4404
Dem,65 and older,Graduate or Professional Degree,Black,Female,Black,support,Disapp.,Check,oppose,Dems. take House,Favorable,Unfavorable,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,Non-White,Cincinnati,85 percent or higher,Landline,1,0.9832,0.6951,0.3737,0.6987
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,Hamilton,85 percent or higher,Landline,1,0.8776,0.6872,0.3175,0.6842
Dem,[DO NOT READ] Refused,Bachelors' degree,Unknown,Female,[DO NOT READ] Don't know/Refused,oppose,Disapp.,Check,support,Don't know,Don't know,Unfavorable,agree,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,18 to 34,Unknown,Warren,Less than 50 percent,Landline,1,0.2485,1.5461,2.8276,2.0019
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,White,Warren,85 percent or higher,Landline,1,0.976,0.9229,0.409,0.9218
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Hamilton,50 to 85 percent,Cell,1,0.695,0.8565,0.4294,0.9014
Dem,18 to 34,Graduate or Professional Degree,Black,Female,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,18 to 29,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,18 to 34,Non-White,Hamilton,Less than 50 percent,Landline,1,0.2836,0.8706,1.8293,1.0942
Dem,50 to 64,Graduate or Professional Degree,Other,Female,Asian,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,Non-White,Warren,50 to 85 percent,Cell,1,0.7385,0.9028,0.4068,0.9407
Dem,50 to 64,Some college or trade school,Black,Female,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,Non-White,Cincinnati,85 percent or higher,Cell,1,0.9202,0.7675,0.4302,0.7752
Dem,35 to 49,Some college or trade school,White,Female,White,oppose,Disapp.,Check,Don't know,Dems. take House,Don't know,Don't know,agree,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Hamilton,Less than 50 percent,Cell,1,0.297,0.7773,1.8884,0.967
Rep,35 to 49,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Don't know,45 to 64,4-year College Grad.,Republican,Male,Somewhat likely,Republican,"White, 4-Year College Grads",35 to 49,White,Hamilton,50 to 85 percent,Landline,1,0.7791,0.9177,0.5965,0.8559
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Warren,85 percent or higher,Cell,1,0.8837,0.8018,0.3309,0.8138
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Support,support,Reps. keep House,Don't know,Don't know,agree,45 to 64,Postgraduate Degree,Republican,Male,Not at all likely,Republican,"White, 4-Year College Grads",50 to 64,White,Warren,85 percent or higher,Landline,0,0.9618,0.8482,0.3644,0.6311
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Cincinnati,85 percent or higher,Cell,1,0.8955,0.7037,0.4192,0.713
Rep,50 to 64,Grade school,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Favorable,agree,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Hamilton,85 percent or higher,Landline,1,0.9524,1.439,0.974,1.4338
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Don't know,disagree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Warren,50 to 85 percent,Cell,1,0.8338,0.9414,0.399,0.963
Rep,18 to 34,High school,Black,Female,Black,support,Disapp.,Check,oppose,Reps. keep House,Don't know,Favorable,agree,30 to 44,High School Grad. or Less,Other,Male,Very likely,Republican,Nonwhite,18 to 34,Non-White,Hamilton,Less than 50 percent,Landline,0.7778,0.4923,1.9073,3.5123,1.8418
Dem,35 to 49,Some college or trade school,Unknown,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,30 to 44,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,Unknown,Hamilton,Less than 50 percent,Cell,1,0.3553,1.0521,2.1978,1.259
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,oppose,Disapp.,Check,oppose,Dems. take House,Favorable,Favorable,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,50 to 64,White,Cincinnati,50 to 85 percent,Cell,1,0.7753,0.9175,0.517,0.9488
Dem,50 to 64,High school,Black,Female,Black,oppose,Approve,Don't know,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,Non-White,Cincinnati,85 percent or higher,Landline,1,0.9701,1.376,1.0523,1.3835
Und,65 and older,Some college or trade school,Black,Female,Other,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,agree,65 and older,Some College Educ.,Other,Female,[DO NOT READ] Don't know/Refused,Democrat,Nonwhite,65 and older,Non-White,Cincinnati,50 to 85 percent,Landline,1,0.5493,0.8532,0.8834,0.7349
Dem,50 to 64,Some college or trade school,White,Male,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,White,Cincinnati,85 percent or higher,Cell,1,0.9754,0.8578,0.4927,0.8623
Und,65 and older,Bachelors' degree,Black,Female,Black,oppose,Disapp.,Don't know,oppose,Dems. take House,Don't know,Don't know,agree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,[DO NOT READ] Refused,Nonwhite,65 and older,Non-White,Hamilton,85 percent or higher,Cell,1,0.9147,0.6605,0.277,0.6676
Und,18 to 34,Some college or trade school,Hispanic,Male,Black,Don't know,Disapp.,Check,oppose,Don't know,Don't know,Don't know,agree,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),Nonwhite,18 to 34,Non-White,Cincinnati,50 to 85 percent,Cell,0.6667,0.6467,1.2635,1.4168,1.0183
Dem,50 to 64,High school,Black,Female,Black,support,Disapp.,Check,support,Dems. take House,Favorable,Favorable,agree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,Non-White,Cincinnati,85 percent or higher,Cell,1,0.973,1.376,1.0491,1.3833
Dem,35 to 49,Some college or trade school,Black,Female,White,oppose,Disapp.,Don't know,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Some College Educ.,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",35 to 49,Non-White,Cincinnati,Less than 50 percent,Cell,1,0.2555,0.8004,2.6795,0.9255
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Favorable,Favorable,disagree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Hamilton,50 to 85 percent,Cell,0.8889,0.5426,0.8908,0.6284,0.9514
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Cincinnati,85 percent or higher,Landline,1,0.987,0.7146,0.3503,0.7183
Dem,50 to 64,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",50 to 64,White,Warren,85 percent or higher,Landline,1,0.9776,0.8614,0.33,0.8606
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Warren,85 percent or higher,Cell,1,0.9267,0.826,0.3415,0.8337
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Hamilton,85 percent or higher,Landline,1,0.9798,0.7696,0.3608,0.7691
Dem,65 and older,Grade school,Black,Female,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,Non-White,Cincinnati,85 percent or higher,Landline,1,0.9847,1.4175,1.1223,1.4247
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Check,oppose,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Hamilton,50 to 85 percent,Landline,1,0.6057,0.8287,0.6568,0.8485
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Favorable,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Hamilton,85 percent or higher,Cell,1,0.986,0.74,0.3135,0.7437
Rep,65 and older,High school,White,Female,White,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Don't know,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Hamilton,85 percent or higher,Cell,1,0.9749,1.3798,0.9339,1.387
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Favorable,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Hamilton,85 percent or higher,Landline,1,0.9189,0.7057,0.3358,0.7129
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Warren,85 percent or higher,Landline,1,0.959,0.8737,0.3955,0.8791
