response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedb,educ3,file_race_hisp,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Dems. take House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",San Diego,65 and older,Postgraduate Degree,White,85 percent or higher,Landline,1,0.9452,0.6252,0.3979,0.616
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",San Diego,65 and older,Postgraduate Degree,White,85 percent or higher,Landline,1,0.97,0.8204,0.5023,0.8109
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Democratic,Female,Already voted,Republican,"White, No 4-Year College Degree",San Diego,50 to 64,No 4-year College Degree,White,85 percent or higher,Landline,1,0.97,1.1586,1.0153,1.1451
Dem,18 to 34,Bachelors' degree,Asian,Female,Asian,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),Nonwhite,San Diego,18 to 34,4-year College Grad.,Other Non-White,50 to 85 percent,Cell,1,0.7671,0.6055,0.4098,0.6134
Dem,18 to 34,Some college or trade school,White,Male,Other,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,San Diego,18 to 34,No 4-year College Degree,White,50 to 85 percent,Cell,0.7778,0.5,1.0362,1.3913,1.0582
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",San Diego,65 and older,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9695,0.995,0.8182,0.9835
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Orange,50 to 64,4-year College Grad.,White,85 percent or higher,Landline,1,0.97,0.8947,0.5621,0.8798
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",Orange,65 and older,4-year College Grad.,White,85 percent or higher,Landline,1,0.9629,0.9555,0.5046,0.9319
Rep,65 and older,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",San Diego,65 and older,No 4-year College Degree,Unknown,85 percent or higher,Cell,1,0.9429,0.8829,0.6292,0.877
Rep,18 to 34,High school,White,Male,White,Don't know,Reps. keep House,Don't know,Favorable,18 to 29,High School Grad. or Less,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",San Diego,18 to 34,No 4-year College Degree,White,50 to 85 percent,Landline,0.8889,0.8092,0.982,0.7347,0.943
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",San Diego,65 and older,Postgraduate Degree,White,85 percent or higher,Cell,1,0.97,0.7683,0.5034,0.7555
Und,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Orange,65 and older,No 4-year College Degree,Hispanic,85 percent or higher,Landline,0.8889,0.9572,0.9157,0.8802,0.897
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",San Diego,35 to 49,Postgraduate Degree,White,50 to 85 percent,Cell,1,0.8185,1.2994,0.8522,1.3036
Rep,65 and older,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,San Diego,65 and older,4-year College Grad.,White,85 percent or higher,Landline,1,0.908,1.0905,0.6313,1.079
Rep,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Reps. keep House,Favorable,Favorable,30 to 44,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",San Diego,18 to 34,4-year College Grad.,White,50 to 85 percent,Cell,0.7778,0.5222,0.9133,0.8701,0.8603
Dem,35 to 49,Bachelors' degree,Other,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),Nonwhite,Orange,35 to 49,4-year College Grad.,Other Non-White,Less than 50 percent,Cell,1,0.2446,1.2964,3.1088,1.6477
Und,65 and older,Bachelors' degree,Asian,Male,Asian,Don't know,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Somewhat likely,[DO NOT READ] Refused,Nonwhite,San Diego,65 and older,4-year College Grad.,Other Non-White,85 percent or higher,Landline,0.4444,0.9236,0.9601,0.4726,0.8285
Dem,65 and older,Bachelors' degree,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Orange,65 and older,4-year College Grad.,White,85 percent or higher,Cell,1,0.97,0.7684,0.4531,0.7556
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",San Diego,65 and older,Postgraduate Degree,White,85 percent or higher,Cell,1,0.9695,0.8204,0.5026,0.811
Und,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Orange,35 to 49,Postgraduate Degree,White,85 percent or higher,Cell,1,0.9392,0.9865,0.555,0.9607
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",San Diego,65 and older,Postgraduate Degree,Unknown,85 percent or higher,Landline,1,0.9432,0.7683,0.4531,0.7631
Rep,35 to 49,Some college or trade school,White,Female,White,Disapp.,Reps. keep House,Don't know,Favorable,30 to 44,Some College Educ.,Republican,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",Orange,35 to 49,No 4-year College Degree,White,Less than 50 percent,Cell,0.8889,0.1869,1.6907,6.98,1.4475
Dem,65 and older,Graduate or Professional Degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Orange,65 and older,Postgraduate Degree,White,85 percent or higher,Cell,1,0.97,0.6732,0.4266,0.662
Rep,50 to 64,Some college or trade school,Hispanic,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",San Diego,50 to 64,No 4-year College Degree,Hispanic,85 percent or higher,Landline,1,0.9534,1.5314,1.2198,1.5076
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",San Diego,35 to 49,4-year College Grad.,White,85 percent or higher,Cell,1,0.97,1.3722,0.6724,1.3493
Dem,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),Nonwhite,Orange,18 to 34,No 4-year College Degree,Hispanic,Less than 50 percent,Cell,0.6667,0.3376,1.2322,3.4844,0.8897
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Don't know,Don't know,65 and older,4-year College Grad.,Democratic,Male,Already voted,Democrat,[DO NOT READ] Don't know/Refused,Orange,65 and older,4-year College Grad.,White,85 percent or higher,Cell,1,0.9605,0.9555,0.5059,0.946
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",San Diego,35 to 49,Postgraduate Degree,White,50 to 85 percent,Cell,1,0.5537,0.9785,1.1392,1.0482
Und,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Favorable,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Orange,50 to 64,4-year College Grad.,White,85 percent or higher,Cell,1,0.9447,1.0419,0.6394,1.0149
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",San Diego,50 to 64,4-year College Grad.,White,85 percent or higher,Cell,1,0.9301,1.0904,0.6902,1.0759
Rep,18 to 34,Bachelors' degree,White,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Other,Male,Very likely,Republican,Nonwhite,San Diego,18 to 34,4-year College Grad.,White,85 percent or higher,Cell,1,0.9062,0.845,0.4428,0.8224
Dem,50 to 64,Bachelors' degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,San Diego,50 to 64,4-year College Grad.,White,85 percent or higher,Cell,1,0.97,1.3559,0.7322,1.3334
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",San Diego,50 to 64,4-year College Grad.,White,85 percent or higher,Cell,1,0.9625,1.0904,0.6671,1.0791
Dem,50 to 64,Graduate or Professional Degree,Other,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,San Diego,50 to 64,Postgraduate Degree,Other Non-White,85 percent or higher,Cell,1,0.97,0.7876,0.4756,0.7745
Und,18 to 34,High school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,High School Grad. or Less,Democratic,Female,Somewhat likely,Democrat,Nonwhite,Orange,18 to 34,No 4-year College Degree,Hispanic,Less than 50 percent,Landline,0.4444,0.3285,1.058,3.2296,0.6432
Dem,18 to 34,Some college or trade school,Other,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",San Diego,18 to 34,No 4-year College Degree,Other Non-White,85 percent or higher,Cell,1,0.9205,0.7904,0.5084,0.7888
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",San Diego,50 to 64,Postgraduate Degree,White,85 percent or higher,Cell,1,0.97,0.9054,0.5319,0.8903
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",San Diego,50 to 64,Postgraduate Degree,White,85 percent or higher,Landline,1,0.9578,0.7682,0.5708,0.7609
Und,65 and older,Some college or trade school,White,Female,White,Disapp.,Don't know,Favorable,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",San Diego,65 and older,No 4-year College Degree,White,50 to 85 percent,Landline,1,0.7495,1.0071,1.2046,1.0239
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",San Diego,65 and older,Postgraduate Degree,White,85 percent or higher,Landline,1,0.97,0.8204,0.5023,0.8068
Und,35 to 49,Some college or trade school,White,Female,White,Disapp.,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",Orange,35 to 49,No 4-year College Degree,White,85 percent or higher,Landline,1,0.902,1.1204,0.9428,1.1094
Dem,18 to 34,Some college or trade school,White,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,San Diego,18 to 34,No 4-year College Degree,White,Less than 50 percent,Cell,1,0.4793,1.4297,2.3065,1.5742
Und,35 to 49,Graduate or Professional Degree,Asian,Male,Asian,Approve,Don't know,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,San Diego,35 to 49,Postgraduate Degree,Other Non-White,85 percent or higher,Landline,1,0.8536,0.9283,0.5495,0.9257
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",San Diego,65 and older,No 4-year College Degree,White,85 percent or higher,Landline,1,0.9589,0.995,0.8272,0.9701
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Don't know,Reps. keep House,Don't know,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Not at all likely,Republican,"White, 4-Year College Grads",San Diego,50 to 64,Postgraduate Degree,White,Less than 50 percent,Cell,0.2222,0.2583,1.4246,4.2132,0.4172
Und,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Some College Educ.,Other,Male,Very likely,or as a member of another political party,"White, No 4-Year College Degree",San Diego,35 to 49,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9518,1.698,1.1649,1.6546
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",San Diego,18 to 34,No 4-year College Degree,White,85 percent or higher,Cell,1,0.8684,0.9587,0.7062,0.9539
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",San Diego,65 and older,Postgraduate Degree,White,85 percent or higher,Cell,0.8889,0.97,0.6597,0.4543,0.6464
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",San Diego,50 to 64,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9409,1.4408,1.1577,1.4317
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",San Diego,35 to 49,Postgraduate Degree,White,50 to 85 percent,Cell,1,0.7857,0.9785,0.8041,0.9876
Rep,65 and older,Bachelors' degree,White,Male,White,Disapp.,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",Orange,65 and older,4-year College Grad.,White,85 percent or higher,Cell,1,0.9641,0.9055,0.4302,0.8959
Rep,65 and older,Some college or trade school,White,Male,White,Don't know,Don't know,Don't know,Favorable,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Orange,65 and older,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9697,0.9508,0.7695,0.935
Dem,50 to 64,Bachelors' degree,Other,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Republican,[DO NOT READ] Don't know/Refused,San Diego,50 to 64,4-year College Grad.,Other Non-White,85 percent or higher,Cell,1,0.9382,1.1179,0.5773,1.0886
Und,[DO NOT READ] Refused,Bachelors' degree,White,Female,[DO NOT READ] Don't know/Refused,Approve,Don't know,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Female,Very likely,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,San Diego,50 to 64,4-year College Grad.,White,85 percent or higher,Landline,1,0.8994,1.0333,0.6089,1.0058
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",San Diego,65 and older,4-year College Grad.,White,85 percent or higher,Cell,1,0.9475,0.9364,0.5461,0.9122
Dem,50 to 64,Some college or trade school,Unknown,Female,Black,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Female,Already voted,Democrat,Nonwhite,San Diego,50 to 64,No 4-year College Degree,Unknown,85 percent or higher,Cell,1,0.8502,1.0849,1.015,1.1
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",San Diego,50 to 64,Postgraduate Degree,White,85 percent or higher,Landline,1,0.97,0.7682,0.5636,0.7554
Dem,18 to 34,Some college or trade school,White,Male,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,18 to 29,Some College Educ.,Other,Male,Very likely,or as a member of another political party,Nonwhite,Orange,18 to 34,No 4-year College Degree,White,Less than 50 percent,Cell,1,0.4374,1.0986,2.1484,1.1446
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,Some College Educ.,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",Orange,18 to 34,No 4-year College Degree,White,50 to 85 percent,Cell,1,0.7522,0.6403,0.7123,0.6286
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",San Diego,65 and older,No 4-year College Degree,White,85 percent or higher,Landline,1,0.9489,0.995,0.8359,0.9799
Dem,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,[DO NOT READ] Don't know/Refused,Republican,Male,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,San Diego,50 to 64,[DO NOT READ] Don't know/Refused,White,85 percent or higher,Landline,1,0.9407,1.0146,0.5863,1.0001
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",San Diego,18 to 34,4-year College Grad.,White,85 percent or higher,Cell,1,0.9179,0.9023,0.4363,0.8916
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",San Diego,65 and older,4-year College Grad.,White,85 percent or higher,Landline,1,0.97,0.9364,0.5335,0.9255
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",San Diego,50 to 64,Postgraduate Degree,White,85 percent or higher,Cell,1,0.9547,0.728,0.4886,0.7215
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Orange,50 to 64,Postgraduate Degree,White,85 percent or higher,Cell,1,0.8823,0.7839,0.5815,0.7783
Rep,50 to 64,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",San Diego,50 to 64,No 4-year College Degree,Unknown,50 to 85 percent,Cell,1,0.8176,1.3818,1.1321,1.4126
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",San Diego,65 and older,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9318,0.9318,0.8529,0.9193
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",San Diego,50 to 64,Postgraduate Degree,White,85 percent or higher,Cell,1,0.97,0.9553,0.6233,0.9394
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",San Diego,35 to 49,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9247,1.3817,0.9225,1.345
Rep,35 to 49,Graduate or Professional Degree,White,Male,Hispanic,Approve,Reps. keep House,Don't know,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),Nonwhite,Orange,35 to 49,Postgraduate Degree,White,85 percent or higher,Cell,0.8889,0.97,0.9865,0.5375,0.9584
Dem,50 to 64,High school,White,Male,White,Disapp.,Don't know,Unfavorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Orange,50 to 64,No 4-year College Degree,White,50 to 85 percent,Cell,0.8889,0.8488,1.1966,1.2405,1.1806
Und,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,Don't know,Don't know,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",San Diego,35 to 49,Postgraduate Degree,White,Less than 50 percent,Cell,1,0.3899,1.3663,2.1859,1.5682
Dem,18 to 34,Bachelors' degree,Unknown,Male,Other,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,San Diego,18 to 34,4-year College Grad.,Unknown,Less than 50 percent,Cell,1,0.1397,1.194,3.5797,1.7331
Dem,50 to 64,Bachelors' degree,White,Female,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Already voted,Democrat,Nonwhite,Orange,50 to 64,4-year College Grad.,White,85 percent or higher,Landline,1,0.9467,1.1126,0.6368,1.1044
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",San Diego,50 to 64,4-year College Grad.,White,85 percent or higher,Cell,1,0.9575,1.3559,0.7417,1.3345
Rep,65 and older,Graduate or Professional Degree,Other,Male,White,Disapp.,Reps. keep House,Don't know,Don't know,65 and older,Postgraduate Degree,Other,Male,Already voted,Republican,"White, 4-Year College Grads",San Diego,65 and older,Postgraduate Degree,Other Non-White,85 percent or higher,Cell,1,0.9474,0.6335,0.3933,0.6287
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",San Diego,65 and older,Postgraduate Degree,White,85 percent or higher,Cell,1,0.97,0.6252,0.3878,0.6179
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",San Diego,50 to 64,4-year College Grad.,White,85 percent or higher,Cell,1,0.9499,1.0333,0.5768,1.0176
