response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,educ3,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Well-educ. Clinton,Less than 50 percent,Cell,0.8889,0.3984,0.7591,1.6184,0.792
Und,65 and older,Bachelors' degree,White,Female,White,Disapp.,Don't know,Don't know,Don't know,65 and older,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,4-year College Grad.,White,Well-educ. Clinton,50 to 85 percent,Cell,1,0.5968,1.8334,1.8545,2.0079
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,Unknown,Less-educ. Clinton,85 percent or higher,Cell,1,0.9516,0.6078,0.3112,0.6202
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Less educ. Trump,85 percent or higher,Cell,0,0.9225,0.8239,0.4772,0.7219
Rep,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.8895,1.1604,0.7268,1.1928
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,Unknown,Less educ. Trump,Less than 50 percent,Cell,0.2222,0.4698,0.5988,1.0022,0.3414
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,4-year College Grad.,White,Less-educ. Clinton,85 percent or higher,Landline,1,0.97,1.474,0.9011,1.5021
Dem,35 to 49,[DO NOT READ] Refused,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,[DO NOT READ] Don't know/Refused,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,[DO NOT READ] Don't know/Refused,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.7398,1.2631,1.2045,1.3336
Rep,18 to 34,Some college or trade school,White,Male,White,Don't know,Reps. keep House,Don't know,Favorable,18 to 29,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9282,0.7524,0.6589,0.7591
Und,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Democrat,Nonwhite,Nonwhite,18 to 34,No 4-year College Degree,Non-White,Less educ. Trump,Less than 50 percent,Cell,0.7778,0.2927,0.6438,1.7316,0.5188
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.8995,0.9486,0.584,0.9569
Dem,50 to 64,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,Unknown,Well-educ. Clinton,85 percent or higher,Cell,1,0.97,0.8663,0.4961,0.8828
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Dems. take House,Unfavorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,Postgraduate Degree,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.97,0.9258,0.5322,0.9435
Dem,18 to 34,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,Unknown,Less-educ. Clinton,50 to 85 percent,Landline,0.7778,0.8235,0.7037,0.5104,0.6876
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.6484,1.0213,0.9677,1.1022
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.9484,0.9814,0.5523,1.0017
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9164,0.9701,0.814,0.9936
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Well-educ. Clinton,85 percent or higher,Landline,1,0.97,0.7246,0.3985,0.7384
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Approve,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Already voted,Republican,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,Unknown,Well-educ. Clinton,85 percent or higher,Cell,1,0.8801,0.7696,0.5195,0.8029
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,4-year College Grad.,White,Well-educ. Clinton,85 percent or higher,Landline,1,0.97,1.3987,0.8773,1.4254
Rep,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Less educ. Trump,85 percent or higher,Cell,1,0.9177,0.8239,0.4797,0.8437
Und,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.8819,0.9998,0.8502,1.0288
Dem,18 to 34,Some college or trade school,Unknown,Female,Asian,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,Some College Educ.,Other,Female,Not at all likely,Democrat,Nonwhite,Nonwhite,18 to 34,No 4-year College Degree,Unknown,Well-educ. Trump,Less than 50 percent,Cell,0.2222,0.4042,0.7636,1.6359,0.2654
Dem,35 to 49,Graduate or Professional Degree,Other,Female,White,Approve,Dems. take House,Don't know,Don't know,30 to 44,Postgraduate Degree,Democratic,Male,Not at all likely,Democrat,"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,Non-White,Less-educ. Clinton,50 to 85 percent,Cell,0.4444,0.6157,0.8614,0.7876,0.4467
Dem,18 to 34,Graduate or Professional Degree,White,Male,Hispanic,Approve,Dems. take House,Unfavorable,Unfavorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,or as a member of another political party,Nonwhite,Nonwhite,18 to 34,Postgraduate Degree,White,Well-educ. Trump,85 percent or higher,Cell,1,0.9426,0.5571,0.3675,0.569
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,White,Well-educ. Clinton,85 percent or higher,Landline,1,0.97,0.628,0.4566,0.64
Rep,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Reps. keep House,Don't know,Don't know,18 to 29,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,White,Less-educ. Clinton,Less than 50 percent,Cell,0.5556,0.4603,0.8035,1.3562,0.7865
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Less educ. Trump,85 percent or higher,Cell,1,0.97,0.9221,0.5613,0.9444
Und,18 to 34,Some college or trade school,White,Female,Other,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,Some College Educ.,Other,Female,Very likely,or as a member of another political party,Nonwhite,Nonwhite,18 to 34,No 4-year College Degree,White,Well-educ. Clinton,Less than 50 percent,Cell,0.6667,0.4066,0.82,1.8765,0.7679
Und,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,White,Well-educ. Clinton,50 to 85 percent,Cell,0.6667,0.5104,0.9377,1.2682,0.7328
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Less-educ. Clinton,85 percent or higher,Landline,1,0.9074,1.2628,0.8729,1.2949
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Well-educ. Clinton,85 percent or higher,Landline,1,0.97,0.9002,0.5273,0.9173
Dem,50 to 64,Some college or trade school,White,Male,White,Approve,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Less-educ. Clinton,Less than 50 percent,Landline,1,0.126,1.3844,6.508,1.8446
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.9048,0.7946,0.4322,0.8151
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Well-educ. Trump,85 percent or higher,Landline,1,0.97,1.3248,0.7607,1.35
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Well-educ. Clinton,50 to 85 percent,Cell,1,0.7716,0.9389,0.8791,1.0071
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.9552,1.2628,0.8292,1.2882
Rep,35 to 49,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,Unknown,Less-educ. Clinton,50 to 85 percent,Cell,1,0.6007,1.0097,1.2727,1.1045
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,4-year College Grad.,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Less educ. Trump,Less than 50 percent,Cell,0.6667,0.3211,0.7782,1.9599,0.7358
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Less educ. Trump,85 percent or higher,Landline,1,0.97,1.1073,0.7448,1.1284
Und,65 and older,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Don't know,Favorable,Favorable,65 and older,[DO NOT READ] Don't know/Refused,Democratic,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,[DO NOT READ] Don't know/Refused,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.97,1.2028,0.7236,1.2258
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.97,0.6421,0.4665,0.6543
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Less-educ. Clinton,50 to 85 percent,Landline,0,0.5838,2.1025,2.3854,1.5997
Rep,35 to 49,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,Unknown,Less-educ. Clinton,85 percent or higher,Landline,1,0.9683,0.7693,0.5794,0.778
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Less educ. Trump,50 to 85 percent,Cell,1,0.5865,0.7066,0.7991,0.7763
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,White,Don't know,Reps. keep House,Don't know,Don't know,65 and older,[DO NOT READ] Don't know/Refused,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,[DO NOT READ] Don't know/Refused,White,Less-educ. Clinton,85 percent or higher,Cell,0.7778,0.97,1.1764,0.7082,1.1896
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.97,0.6243,0.4622,0.6315
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",White,65 and older,4-year College Grad.,White,Well-educ. Trump,85 percent or higher,Cell,1,0.97,1.6927,1.016,1.7338
Dem,65 and older,High school,Hispanic,Female,White,Disapp.,Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,Non-White,Well-educ. Clinton,Less than 50 percent,Landline,1,0.4966,1.6629,2.5565,1.8844
Rep,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Don't know,Favorable,Favorable,30 to 44,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,Unknown,Well-educ. Clinton,Less than 50 percent,Cell,0.7778,0.1572,0.5266,2.6291,0.5747
Rep,50 to 64,Some college or trade school,White,Male,Other,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,Nonwhite,50 to 64,No 4-year College Degree,White,Less-educ. Clinton,85 percent or higher,Landline,1,0.8966,1.2628,0.8834,1.2967
Rep,35 to 49,Graduate or Professional Degree,Asian,Male,Asian,Disapp.,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,Postgraduate Degree,Non-White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9678,0.6698,0.4495,0.6826
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Male,Already voted,Republican,"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,White,Well-educ. Clinton,Less than 50 percent,Cell,1,0.4391,0.7625,1.3843,0.933
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Less-educ. Clinton,85 percent or higher,Landline,1,0.97,1.1935,0.6727,1.2162
Und,65 and older,Graduate or Professional Degree,White,Female,Other,Disapp.,Don't know,Don't know,Don't know,65 and older,Postgraduate Degree,Other,Female,Not at all likely,Independent (No party),Nonwhite,Nonwhite,65 and older,Postgraduate Degree,White,Well-educ. Trump,Less than 50 percent,Landline,0,0.2572,1.1872,2.8728,0.2833
Dem,35 to 49,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.9268,1.119,1.0004,1.1289
Rep,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,Unknown,Well-educ. Trump,85 percent or higher,Cell,1,0.97,0.6747,0.3453,0.6875
Rep,50 to 64,Some college or trade school,Unknown,Male,Other,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,No 4-year College Degree,Unknown,Well-educ. Trump,85 percent or higher,Landline,1,0.97,1.1092,0.6973,1.1304
Dem,50 to 64,Graduate or Professional Degree,Asian,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,Non-White,Well-educ. Trump,85 percent or higher,Landline,1,0.9425,0.9352,0.4665,0.9551
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.97,0.9203,0.5388,0.9427
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,Disapp.,Don't know,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,Unknown,Well-educ. Clinton,85 percent or higher,Cell,1,0.97,0.8423,0.4915,0.8584
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.97,0.7899,0.4081,0.805
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.97,0.6421,0.4665,0.6543
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,Postgraduate Degree,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.97,0.7899,0.4081,0.805
Dem,50 to 64,Bachelors' degree,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,Non-White,Well-educ. Clinton,85 percent or higher,Cell,1,0.97,1.1676,0.6452,1.1959
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,4-year College Grad.,White,Well-educ. Trump,85 percent or higher,Landline,1,0.968,1.6362,1.021,1.6546
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.9272,1.1673,0.6888,1.1941
Dem,65 and older,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,Unknown,Less educ. Trump,50 to 85 percent,Cell,1,0.5561,1.1554,1.2606,1.2816
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,Unknown,Less-educ. Clinton,85 percent or higher,Cell,1,0.9697,0.7912,0.5839,0.8104
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9321,1.1012,0.6753,1.1258
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Less educ. Trump,85 percent or higher,Cell,1,0.97,0.9167,0.5682,0.9341
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Less educ. Trump,Less than 50 percent,Cell,1,0.1422,0.9771,4.4863,1.4635
