response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,FEMINISM,genballot,hdem_fav,hrep_fav,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedd,educ3,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",45 to 64,Postgraduate Degree,Unknown,Pima,85 percent or higher,Landline,1,0.9616,0.6394,0.4218,0.6482
Dem,65 and older,High school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Favorable,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Pima,85 percent or higher,Cell,1,0.994,1.1656,0.8293,1.1784
Und,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Unfavorable,agree,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Pima,85 percent or higher,Landline,0.2222,0.98740000000000006,1.1656,0.8348,1.1554
Dem,65 and older,High school,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Favorable,agree,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Cochise,85 percent or higher,Landline,1,0.9875,0.8987,0.7045,0.9103
Dem,35 to 49,Graduate or Professional Degree,Asian,Female,Asian,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),Nonwhite,45 to 64,Postgraduate Degree,Non-White,Pima,50 to 85 percent,Landline,1,0.845,0.9562,0.7135,0.9839
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Favorable,Don't know,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",45 to 64,Postgraduate Degree,White,Pima,85 percent or higher,Landline,1,0.8895,0.6554,0.4609,0.6698
Rep,65 and older,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,support,Approve,Support,Don't know,Reps. keep House,Don't know,Don't know,agree,65 and older,Postgraduate Degree,Other,Male,Very likely,Republican,[DO NOT READ] Don't know/Refused,65 and older,Postgraduate Degree,White,Pima,85 percent or higher,Cell,1,0.9908,0.7007,0.4814,0.7076
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,support,Approve,Support,support,Dems. take House,Unfavorable,Favorable,agree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 44,Postgraduate Degree,White,Pima,85 percent or higher,Cell,1,0.9531,0.5715,0.339,0.5798
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Cochise,85 percent or higher,Landline,1,0.9304,0.8357,0.7112,0.8496
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,support,Disapp.,Check,support,Reps. keep House,Favorable,Don't know,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",45 to 64,Postgraduate Degree,White,Pima,Less than 50 percent,Landline,0.8889,0.4689,0.9563,1.4481,1.0532
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",45 to 64,Postgraduate Degree,White,Pima,50 to 85 percent,Landline,1,0.7548,0.7328,0.6527,0.7668
Dem,65 and older,Some college or trade school,White,Female,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,No 4-year College Degree,White,Cochise,85 percent or higher,Landline,1,0.9666,0.9443,0.755,0.9569
Dem,65 and older,High school,White,Male,White,oppose,Disapp.,Check,oppose,Dems. take House,Favorable,Don't know,agree,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Pima,50 to 85 percent,Landline,1,0.7922,1.3259,1.0723,1.3771
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,Pima,85 percent or higher,Cell,1,0.9893,0.9266,0.5211,0.9387
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Pima,85 percent or higher,Landline,1,0.9989,0.7306,0.4422,0.7414
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Don't know,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,Pima,85 percent or higher,Landline,1,0.9247,1.0059,0.6434,1.0234
Dem,50 to 64,Bachelors' degree,White,Female,White,support,Disapp.,Check,Don't know,Dems. take House,Don't know,Don't know,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,Pima,85 percent or higher,Cell,1,0.9822,0.9266,0.5249,0.9385
Dem,35 to 49,Bachelors' degree,Hispanic,Female,Hispanic,Don't know,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 44,4-year College Grad.,Non-White,Pima,85 percent or higher,Cell,1,0.8758,1.0113,0.6129,1.0356
Und,50 to 64,Graduate or Professional Degree,White,Female,Hispanic,support,Approve,Support,support,Reps. keep House,Favorable,Favorable,disagree,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),Nonwhite,45 to 64,Postgraduate Degree,White,Pima,85 percent or higher,Cell,1,0.9965,0.6886,0.4316,0.697
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,Pima,85 percent or higher,Cell,0,0.9944,0.9574,0.5703,0.9449
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Don't know,support,Dems. take House,Favorable,Favorable,agree,65 and older,Postgraduate Degree,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Pima,85 percent or higher,Landline,1,0.9979,0.7363,0.5014,0.7459
Rep,65 and older,Graduate or Professional Degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Pima,85 percent or higher,Landline,1,0.9938,0.7931,0.513,0.8037
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Pima,50 to 85 percent,Landline,1,0.806,0.844,0.7246,0.8743
Dem,18 to 34,Some college or trade school,White,Female,Hispanic,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,18 to 29,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 44,No 4-year College Degree,White,Pima,50 to 85 percent,Cell,1,0.79990000000000006,1.145,0.8548,1.1536
Dem,[DO NOT READ] Refused,Some college or trade school,White,Male,Hispanic,support,Approve,Check,support,Dems. take House,Favorable,Favorable,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Democrat,Nonwhite,45 to 64,No 4-year College Degree,White,Cochise,85 percent or higher,Cell,0,0.9917,0.89,0.7165,0.88
Dem,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,oppose,Disapp.,Don't know,oppose,Dems. take House,Favorable,Unfavorable,agree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 44,No 4-year College Degree,Non-White,Pima,50 to 85 percent,Landline,1,0.8148,1.3201,0.9607,1.3654
Rep,65 and older,Graduate or Professional Degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Pima,85 percent or higher,Cell,1,0.9984,0.7931,0.5106,0.8046
Dem,[DO NOT READ] Refused,Grade school,White,Male,[DO NOT READ] Don't know/Refused,support,Approve,Support,support,Dems. take House,Unfavorable,Favorable,agree,30 to 44,High School Grad. or Less,Republican,Female,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,18 to 44,No 4-year College Degree,White,Cochise,85 percent or higher,Cell,0,0.8703,0.8426,0.7426,0.73740000000000006
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Favorable,Favorable,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",45 to 64,No 4-year College Degree,White,Cochise,85 percent or higher,Cell,1,0.9774,0.8471,0.693,0.858
Und,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Don't know,Disapp.,Check,Don't know,Dems. take House,Don't know,Don't know,agree,65 and older,Some College Educ.,Democratic,Female,Somewhat likely,Democrat,Nonwhite,65 and older,No 4-year College Degree,Non-White,Pima,85 percent or higher,Landline,1,0.9923,1.3335,0.8396,1.3379
Rep,50 to 64,High school,White,Female,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Don't know,agree,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",45 to 64,No 4-year College Degree,White,Pima,50 to 85 percent,Cell,1,0.6595,1.313,1.3156,1.4048
Dem,35 to 49,Graduate or Professional Degree,White,Female,Hispanic,oppose,Disapp.,Check,support,Dems. take House,Favorable,Favorable,agree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 44,Postgraduate Degree,White,Pima,85 percent or higher,Landline,1,0.974,0.6005,0.348,0.6083
Dem,65 and older,High school,White,Female,White,oppose,Disapp.,Check,oppose,Dems. take House,Don't know,Don't know,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Pima,85 percent or higher,Landline,1,0.9811,1.1567,0.7417,1.1715
Und,65 and older,Graduate or Professional Degree,White,Female,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Don't know,Don't know,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Pima,85 percent or higher,Landline,1,0.9885,0.7931,0.5157,0.8034
Rep,65 and older,Bachelors' degree,White,Female,White,support,Approve,Don't know,Don't know,Reps. keep House,Unfavorable,Favorable,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Pima,85 percent or higher,Landline,1,0.9889,1.1586,0.7132,1.1736
Und,18 to 34,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Favorable,agree,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 44,No 4-year College Degree,White,Pima,50 to 85 percent,Cell,1,0.6016,1.145,1.1366,1.2449
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Pima,85 percent or higher,Cell,1,0.9956,0.7306,0.4437,0.7406
Und,35 to 49,Some college or trade school,White,Male,White,oppose,Disapp.,Check,oppose,Don't know,Unfavorable,Unfavorable,disagree,30 to 44,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",18 to 44,No 4-year College Degree,White,Pima,50 to 85 percent,Cell,0.7778,0.6007,1.0982,1.229,1.0615
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Pima,85 percent or higher,Landline,1,0.9978,0.6954,0.422,0.7053
Dem,50 to 64,Some college or trade school,White,Male,White,oppose,Disapp.,Check,oppose,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",45 to 64,No 4-year College Degree,White,Pima,50 to 85 percent,Cell,1,0.8208,1.1512,0.8731,1.1894
Dem,65 and older,Bachelors' degree,Unknown,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,Unknown,Pima,85 percent or higher,Landline,1,0.968,1.0841,0.7783,1.0986
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Unfavorable,Don't know,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",45 to 64,Postgraduate Degree,White,Cochise,50 to 85 percent,Cell,1,0.7785,0.6237,0.5878,0.6495
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Don't know,disagree,65 and older,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Pima,85 percent or higher,Landline,1,0.9819,1.1027,0.6847,1.111
Dem,65 and older,High school,White,Female,White,Don't know,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Pima,85 percent or higher,Landline,1,0.9624,1.1567,0.7562,1.1725
Und,50 to 64,Some college or trade school,Hispanic,Female,White,oppose,Disapp.,Don't know,support,Reps. keep House,Unfavorable,Unfavorable,agree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",45 to 64,No 4-year College Degree,Non-White,Pima,Less than 50 percent,Cell,1,0.399,1.6079,2.7811,1.7481
Und,18 to 34,Some college or trade school,White,Male,White,oppose,Disapp.,Check,oppose,Reps. keep House,Favorable,Unfavorable,disagree,30 to 44,Some College Educ.,Other,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",18 to 44,No 4-year College Degree,White,Pima,50 to 85 percent,Cell,0.4444,0.5507,1.0982,1.3406,0.5321
Und,65 and older,High school,Unknown,Female,White,Don't know,Don't know,Don't know,Don't know,Reps. keep House,Don't know,Favorable,agree,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,Pima,85 percent or higher,Landline,1,0.9742,1.2657,0.9383,1.2736
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,Unknown,Female,[DO NOT READ] Don't know/Refused,Don't know,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,agree,45 to 64,[DO NOT READ] Don't know/Refused,Democratic,Female,Very likely,Republican,[DO NOT READ] Don't know/Refused,45 to 64,[DO NOT READ] Don't know/Refused,Unknown,Pima,50 to 85 percent,Cell,1,0.7793,1.0616,1.2241,1.0712
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,support,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,65 and older,[DO NOT READ] Don't know/Refused,Democratic,Female,[DO NOT READ] Don't know/Refused,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,65 and older,[DO NOT READ] Don't know/Refused,White,Pima,85 percent or higher,Cell,0.4444,0.9278,1.0071,0.9144,0.8741
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Don't know,disagree,30 to 44,Postgraduate Degree,Republican,Female,Very likely,Republican,Nonwhite,18 to 44,Postgraduate Degree,Non-White,Cochise,Less than 50 percent,Landline,1,0.4547,0.8521,1.5593,0.91
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",45 to 64,Postgraduate Degree,White,Pima,85 percent or higher,Cell,1,0.8743,0.6343,0.4262,0.6497
Dem,65 and older,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Pima,85 percent or higher,Cell,1,0.9918,1.0158,0.5874,1.026
Dem,65 and older,Some college or trade school,Unknown,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,Pima,85 percent or higher,Landline,1,0.9873,1.1659,0.8022,1.181
Und,65 and older,Graduate or Professional Degree,White,Male,White,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,65 and older,Postgraduate Degree,Democratic,Male,[DO NOT READ] Don't know/Refused,[DO NOT READ] Refused,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Pima,85 percent or higher,Landline,0,0.9429,0.6954,0.4466,0.5513
Und,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Favorable,agree,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Pima,85 percent or higher,Cell,1,0.8909,1.0755,0.777,1.099
Rep,65 and older,Some college or trade school,Unknown,Male,White,support,Approve,Check,support,Reps. keep House,Favorable,Unfavorable,disagree,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,Pima,85 percent or higher,Landline,0.7778,0.901,1.2047,0.9671,1.1807
Rep,50 to 64,High school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",45 to 64,No 4-year College Degree,White,Pima,85 percent or higher,Landline,1,0.9236,1.012,0.7529,1.0297
Rep,18 to 34,Some college or trade school,Hispanic,Female,Hispanic,oppose,Don't know,Don't know,support,Don't know,Don't know,Favorable,agree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 44,No 4-year College Degree,Non-White,Pima,50 to 85 percent,Cell,1,0.5052,1.3201,1.5494,1.4824
Rep,50 to 64,Some college or trade school,Hispanic,Female,White,support,Approve,Check,support,Reps. keep House,Don't know,Don't know,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",45 to 64,No 4-year College Degree,Non-White,Cochise,50 to 85 percent,Cell,1,0.5674,1.2358,1.7556,1.358
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Support,support,Reps. keep House,Don't know,Don't know,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,Pima,85 percent or higher,Cell,1,0.9898,0.9574,0.573,0.9699
Dem,65 and older,High school,Hispanic,Female,Hispanic,Don't know,Disapp.,Don't know,support,Dems. take House,Don't know,Favorable,agree,65 and older,High School Grad. or Less,Democratic,Male,Somewhat likely,Democrat,Nonwhite,65 and older,No 4-year College Degree,Non-White,Pima,85 percent or higher,Cell,1,0.8622,1.2692,0.9211,1.2114
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Don't know,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Pima,85 percent or higher,Landline,1,0.9955,0.7549,0.4881,0.7652
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",45 to 64,Postgraduate Degree,White,Pima,85 percent or higher,Landline,1,0.9968,0.6343,0.3738,0.6432
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Pima,85 percent or higher,Cell,1,0.9842,1.1951,0.8134,1.2047
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Female,Hispanic,oppose,Disapp.,Check,support,Dems. take House,Don't know,Favorable,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,45 to 64,Postgraduate Degree,Non-White,Pima,85 percent or higher,Landline,1,0.9896,0.7313,0.4311,0.7408
Dem,50 to 64,Some college or trade school,White,Female,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Unfavorable,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",45 to 64,No 4-year College Degree,White,Pima,85 percent or higher,Cell,1,0.98740000000000006,1.0902,0.7176,1.1043
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Pima,85 percent or higher,Landline,1,0.8921,1.2557,0.9415,1.2828
Rep,65 and older,Bachelors' degree,White,Female,Hispanic,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Don't know,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,65 and older,4-year College Grad.,White,Pima,85 percent or higher,Cell,1,0.9482,1.1586,0.7438,1.1758
Und,18 to 34,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,agree,30 to 44,Postgraduate Degree,Other,Male,[DO NOT READ] Don't know/Refused,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,18 to 44,Postgraduate Degree,White,Pima,Less than 50 percent,Landline,0.4444,0.1717,0.79990000000000006,3.3646,0.4197
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,disagree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,Pima,85 percent or higher,Cell,1,0.8919,0.8888,0.6241,0.908
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Pima,85 percent or higher,Landline,1,0.9972,0.6954,0.4222,0.7041
