response,ager,educ,file_race,gender,race_eth,approve,GOVHR,sdem_fav,SENC,srep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dem.,Don't know,Dem.,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,Nashville Area,85 percent or higher,Cell,1,0.9837,0.7977,0.4946,0.7891
Dem,50 to 64,Graduate or Professional Degree,White,Male,Black,Disapp.,Dem.,Favorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Very likely,Independent (No party),Nonwhite,40 to 64,Postgraduate Degree,White,Nashville Area,Less than 50 percent,Cell,0.7778,0.4205,0.6799,0.8627,0.6519
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Nashville Area,85 percent or higher,Landline,1,0.9923,0.6667,0.3703,0.6578
Dem,18 to 34,High school,White,Female,Hispanic,Disapp.,Lib./Don't know,Don't know,Don't know,Favorable,18 to 29,High School Grad. or Less,Democratic,Female,[DO NOT READ] Don't know/Refused,Independent (No party),Nonwhite,18 to 39,No 4-year College Degree,White,East,50 to 85 percent,Landline,0.4444,0.6246,1.2513,1.4286,0.815
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Nashville Area,50 to 85 percent,Cell,1,0.7298,0.7135,0.4154,0.7331
Dem,65 and older,Grade school,White,Male,Hispanic,Disapp.,Dem.,Unfavorable,Dem.,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,65 and older,No 4-year College Degree,White,East,Less than 50 percent,Landline,0,0.325,0.8168,1.5527,0.5513
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Rep.,Favorable,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,West,50 to 85 percent,Cell,1,0.6556,0.7471,0.5954,0.7468
Und,18 to 34,Bachelors' degree,White,Male,White,Approve,Rep.,Don't know,Rep.,Don't know,18 to 29,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Nashville Area,Less than 50 percent,Cell,0.8889,0.4678,0.787,0.9855,0.7847
Und,35 to 49,Some college or trade school,Black,Male,Black,Disapp.,Rep.,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),Nonwhite,40 to 64,No 4-year College Degree,Non-White,West,Less than 50 percent,Cell,1,0.2892,1.0776,2.4038,1.2016
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Unfavorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,East,50 to 85 percent,Landline,1,0.7133,1.0945,0.785,1.1287
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Rep.,Favorable,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Eastern Cities,50 to 85 percent,Cell,1,0.8203,0.9374,0.595,0.946
Dem,65 and older,Some college or trade school,White,Female,White,Approve,Rep.,Favorable,Rep.,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,East,50 to 85 percent,Landline,0.8889,0.7263,1.0254,0.8699,1.0353
Rep,[DO NOT READ] Refused,Some college or trade school,Black,Female,Hispanic,Approve,Rep.,Unfavorable,Rep.,Don't know,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,40 to 64,No 4-year College Degree,Non-White,Nashville Area,85 percent or higher,Landline,1,0.9624,1.1153,0.7218,1.1041
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Nashville Area,85 percent or higher,Cell,1,0.8644,1.0866,0.6043,1.0885
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Dem.,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,East,85 percent or higher,Landline,1,0.9607,0.9043,0.4359,0.8953
Rep,50 to 64,High school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,High School Grad. or Less,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Memphis,Less than 50 percent,Landline,1,0.3453,1.3055,2.2545,1.4158
Dem,50 to 64,Grade school,Black,Female,Black,Disapp.,Dem.,Favorable,Dem.,Unfavorable,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Democrat,Nonwhite,40 to 64,No 4-year College Degree,Non-White,Memphis,Less than 50 percent,Cell,1,0.238,1.4459,3.7902,1.8607
Dem,35 to 49,Bachelors' degree,Black,Female,Black,Disapp.,Dem.,Favorable,Dem.,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,40 to 64,4-year College Grad.,Non-White,Memphis,85 percent or higher,Cell,1,0.9783,1.1535,0.4881,1.1342
Rep,65 and older,Some college or trade school,White,Male,White,Disapp.,Dem.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,East,85 percent or higher,Landline,0.4444,0.8604,1.1454,0.7172,1.0273
Dem,35 to 49,High school,Black,Female,Black,Don't know,Lib./Don't know,Favorable,Dem.,Unfavorable,30 to 44,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 39,No 4-year College Degree,Non-White,Memphis,50 to 85 percent,Cell,1,0.786,1.8516,1.3547,1.8238
Dem,35 to 49,Bachelors' degree,Black,Male,Black,Disapp.,Dem.,Unfavorable,Dem.,Favorable,30 to 44,4-year College Grad.,Democratic,Male,Very likely,Democrat,Nonwhite,18 to 39,4-year College Grad.,Non-White,Memphis,85 percent or higher,Cell,1,0.9649,1.5595,0.6463,1.5308
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Memphis,85 percent or higher,Cell,1,0.8868,0.924,0.3429,0.9226
Dem,50 to 64,Bachelors' degree,Black,Male,Black,Disapp.,Dem.,Favorable,Dem.,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Democrat,Nonwhite,40 to 64,4-year College Grad.,Non-White,West,85 percent or higher,Cell,1,0.9741,0.8597,0.3777,0.8448
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Memphis,85 percent or higher,Landline,1,0.8696,1.0693,0.5028,1.0703
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Rep.,Unfavorable,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,West,85 percent or higher,Landline,1,0.8544,0.9795,0.7546,0.9115
Dem,50 to 64,Some college or trade school,White,Male,Other,Approve,Rep.,Favorable,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),Nonwhite,40 to 64,No 4-year College Degree,White,Nashville Area,50 to 85 percent,Cell,1,0.6905,1.0991,0.7639,1.1396
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,West,85 percent or higher,Landline,1,0.9336,0.6683,0.3259,0.6633
Dem,65 and older,High school,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,West,85 percent or higher,Landline,1,0.8964,1.0295,0.5907,1.0265
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,West,85 percent or higher,Landline,1,0.9143,0.6193,0.3819,0.6161
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,West,50 to 85 percent,Cell,1,0.7349,0.8061,0.4629,0.7978
Dem,35 to 49,Bachelors' degree,Black,Male,Black,Disapp.,Dem.,Unfavorable,Dem.,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 39,4-year College Grad.,Non-White,Memphis,85 percent or higher,Landline,1,0.9846,1.5595,0.6334,1.5426
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,East,85 percent or higher,Landline,1,0.8635,1.0338,0.7728,1.0135
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Nashville Area,85 percent or higher,Cell,1,0.9048,1.326,0.8154,1.3207
Und,18 to 34,Graduate or Professional Degree,White,Female,White,Approve,Lib./Don't know,Don't know,Rep.,Don't know,30 to 44,Postgraduate Degree,Republican,Female,Not at all likely,Republican,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,Memphis,50 to 85 percent,Cell,0,0.5605,1.1143,0.9996,0.3617
Dem,65 and older,Bachelors' degree,Black,Male,Black,Approve,Rep.,Favorable,Rep.,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,65 and older,4-year College Grad.,Non-White,Eastern Cities,85 percent or higher,Landline,1,0.8598,1.0468,0.6948,1.0494
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dem.,Favorable,Don't know,Unfavorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,West,85 percent or higher,Landline,1,0.9611,0.821,0.4449,0.8128
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Eastern Cities,85 percent or higher,Landline,1,0.9357,0.8759,0.6321,0.8692
Dem,65 and older,Some college or trade school,Unknown,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,East,85 percent or higher,Landline,0,0.8628,1.0911,0.5956,0.9278
Und,65 and older,High school,White,Female,White,Approve,Rep.,Unfavorable,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,East,85 percent or higher,Landline,1,0.8918,1.0615,0.794,1.0591
Rep,18 to 34,Bachelors' degree,Unknown,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,18 to 29,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",18 to 39,4-year College Grad.,Unknown,Nashville Area,50 to 85 percent,Cell,1,0.779,0.9598,0.6579,0.9761
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Rep.,Favorable,Rep.,Favorable,18 to 29,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,West,50 to 85 percent,Landline,1,0.8099,1.2793,0.9277,1.2934
Und,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dem.,Unfavorable,Dem.,Don't know,65 and older,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Nashville Area,85 percent or higher,Cell,1,0.947,0.8108,0.4581,0.7948
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Rep.,Favorable,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Nashville Area,85 percent or higher,Cell,0.8889,0.9574,0.8579,0.3703,0.8457
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,Unknown,East,85 percent or higher,Landline,1,0.9761,0.7083,0.3025,0.7006
Rep,65 and older,Some college or trade school,Unknown,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,Memphis,85 percent or higher,Landline,1,0.9325,1.3509,0.6511,1.341
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Rep.,Favorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,West,85 percent or higher,Cell,1,0.9239,0.9354,0.6166,0.9295
Dem,50 to 64,Some college or trade school,Black,Male,Black,Disapp.,Dem.,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Very likely,Independent (No party),Nonwhite,40 to 64,No 4-year College Degree,Non-White,West,85 percent or higher,Cell,1,0.9663,1.0889,0.5611,1.069
Dem,65 and older,Grade school,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Nashville Area,85 percent or higher,Cell,1,0.9289,1.1082,0.5997,1.1005
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,East,50 to 85 percent,Landline,0.5556,0.7144,1.3502,1.0884,1.0499
Dem,65 and older,Some college or trade school,Unknown,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,West,85 percent or higher,Landline,1,0.9583,0.9088,0.528,0.8999
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Nashville Area,85 percent or higher,Landline,1,0.9378,0.6667,0.3918,0.6614
Dem,50 to 64,High school,White,Female,White,Disapp.,Rep.,Favorable,Dem.,Unfavorable,45 to 64,High School Grad. or Less,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,East,Less than 50 percent,Cell,0.5556,0.198,0.9771,3.8187,0.6338
Rep,65 and older,High school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Eastern Cities,85 percent or higher,Landline,1,0.9122,1.1391,1.0139,1.1334
Rep,65 and older,High school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Eastern Cities,85 percent or higher,Cell,1,0.9771,1.1391,0.9466,1.1198
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Nashville Area,85 percent or higher,Landline,1,0.9576,0.8983,0.4189,0.8896
Rep,65 and older,High school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Eastern Cities,85 percent or higher,Cell,1,0.9464,1.1391,0.9773,1.1165
Rep,50 to 64,High school,Unknown,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Unknown,East,85 percent or higher,Landline,0.8889,0.8778,0.9656,0.5936,0.9344
Dem,18 to 34,Graduate or Professional Degree,Black,Female,Black,Disapp.,Lib./Don't know,Unfavorable,Dem.,Don't know,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Democrat,Nonwhite,18 to 39,Postgraduate Degree,Non-White,Memphis,Less than 50 percent,Cell,1,0.4911,1.176,1.5823,1.2968
Rep,50 to 64,Some college or trade school,Other,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Non-White,East,Less than 50 percent,Cell,1,0.4573,1.1678,1.6696,1.3057
Rep,65 and older,High school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Eastern Cities,85 percent or higher,Landline,1,0.9581,1.1391,0.9654,1.128
Rep,35 to 49,High school,White,Female,White,Approve,Lib./Don't know,Unfavorable,Rep.,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,West,Less than 50 percent,Cell,1,0.3364,0.6849,1.4697,0.8161
Rep,50 to 64,High school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Memphis,85 percent or higher,Landline,1,0.8628,1.3543,0.7467,1.3277
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Rep.,Don't know,Rep.,Unfavorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,East,85 percent or higher,Landline,0.4444,0.9366,1.1454,0.6589,1.0915
