response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,SCAPP,SCKAV,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedc,file_race_unkother,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,High School Grad. or Less,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,South/Central,50 to 85 percent,Cell,1,0.8212,1.9035,1.8425,1.9158
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Approve,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,South/Central,85 percent or higher,Cell,1,0.8598,0.8551,0.6589,0.8782
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,4-year College Grad.,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Bangor Area,Less than 50 percent,Cell,1,0.4956,0.6461,0.8822,0.7633
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,40 to 64,Unknown/Non-White,South/Central,85 percent or higher,Landline,1,0.965,0.6421,0.3616,0.6511
Dem,35 to 49,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,30 to 44,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,40 to 64,Unknown/Non-White,Auburn/Lewiston,85 percent or higher,Cell,1,0.965,0.9654,0.7087,0.9708
Und,50 to 64,Some college or trade school,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,40 to 64,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.9505,0.8511,0.6057,0.864
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,North,85 percent or higher,Landline,1,0.965,1.0908,1.0093,1.1061
5,50 to 64,Some college or trade school,White,Male,White,Approve,Dems. take House,Unfavorable,Unfavorable,Approve,agree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,North,85 percent or higher,Cell,1,0.965,0.7862,0.5626,0.7972
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,Approve,agree,30 to 44,Postgraduate Degree,Other,Male,Already voted,Republican,"White, 4-Year College Grads",White,40 to 64,White,South/Central,85 percent or higher,Cell,1,0.965,0.5865,0.3485,0.598
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Approve,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,Bangor Area,85 percent or higher,Cell,1,0.9595,0.7836,0.4947,0.7949
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Bangor Area,85 percent or higher,Cell,0.7778,0.965,0.5568,0.404,0.5537
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,Approve,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.965,0.7818,0.5689,0.7927
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Reps. keep House,Favorable,Favorable,Approve,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,40 to 64,White,North,85 percent or higher,Cell,1,0.965,0.6316,0.3751,0.6404
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,[DO NOT READ] Don't know/Refused,Republican,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,40 to 64,White,North,85 percent or higher,Cell,1,0.965,0.8393,0.4433,0.8511
Und,50 to 64,Some college or trade school,Hispanic,Male,Other,Approve,Don't know,Don't know,Don't know,Don't know,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,40 to 64,Unknown/Non-White,Bangor Area,85 percent or higher,Cell,1,0.9298,0.7275,0.5401,0.74
5,65 and older,High school,White,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,Approve,agree,65 and older,High School Grad. or Less,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Cell,0.6667,0.965,1.0322,0.907,1.0195
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,[DO NOT READ] Don't know/Refused,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Auburn/Lewiston,85 percent or higher,Landline,0.4444,0.9607,0.9066,0.5054,0.8933
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.965,1.5341,1.3936,1.5556
Und,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Unfavorable,Favorable,Approve,agree,30 to 44,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,White,Bangor Area,85 percent or higher,Cell,1,0.9382,1.4309,1.0587,1.4364
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,North,85 percent or higher,Cell,1,0.9336,0.7862,0.5816,0.7994
Rep,35 to 49,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,Approve,agree,30 to 44,High School Grad. or Less,Republican,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 39,White,North,50 to 85 percent,Cell,1,0.5896,3.07,4.0088,3.3517
Dem,65 and older,Bachelors' degree,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Unknown/Non-White,South/Central,85 percent or higher,Cell,1,0.965,0.8089,0.5009,0.8202
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,40 to 64,White,South/Central,85 percent or higher,Cell,1,0.8942,0.72,0.4735,0.7357
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,South/Central,85 percent or higher,Landline,1,0.965,0.9134,0.6366,0.9262
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,Favorable,Unfavorable,Disapp.,disagree,65 and older,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.9649,0.5189,0.3108,0.5218
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.965,0.6551,0.4582,0.6643
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,40 to 64,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.965,0.7711,0.4775,0.7819
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Don't know,Don't know,Don't know,Don't know,disagree,65 and older,[DO NOT READ] Don't know/Refused,Democratic,Female,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,North,85 percent or higher,Cell,0.4444,0.965,0.8375,0.4746,0.8267
Und,50 to 64,High school,White,Female,White,Disapp.,Reps. keep House,Don't know,Don't know,Approve,agree,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,40 to 64,White,North,85 percent or higher,Cell,0.4444,0.9613,1.4442,1.276,1.4233
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,North,85 percent or higher,Cell,1,0.965,0.423,0.2481,0.4289
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Bangor Area,85 percent or higher,Cell,1,0.965,0.6193,0.4071,0.628
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,40 to 64,White,Bangor Area,85 percent or higher,Cell,1,0.965,0.7134,0.4415,0.7234
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Bangor Area,85 percent or higher,Cell,1,0.965,1.2321,1.188,1.2494
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Bangor Area,85 percent or higher,Cell,1,0.965,1.0925,0.9895,1.1078
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,North,85 percent or higher,Cell,1,0.965,0.4862,0.2881,0.493
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,40 to 64,White,South/Central,Less than 50 percent,Landline,1,0.2073,0.9737,3.1694,1.3257
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Unfavorable,Approve,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,South/Central,85 percent or higher,Landline,1,0.965,0.9308,0.6157,0.9439
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Unknown/Non-White,North,85 percent or higher,Cell,1,0.965,0.5515,0.3422,0.5592
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,40 to 64,White,North,85 percent or higher,Cell,0.8889,0.9052,0.8993,0.6211,0.9101
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,Approve,agree,65 and older,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,White,South/Central,85 percent or higher,Cell,1,0.965,0.5648,0.3259,0.568
Dem,65 and older,Some college or trade school,White,Male,White,Don't know,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,North,85 percent or higher,Cell,0.4444,0.965,0.6052,0.4321,0.5879
Und,18 to 34,High school,White,Male,White,Approve,Dems. take House,Unfavorable,Favorable,Disapp.,Don't know,30 to 44,High School Grad. or Less,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,White,South/Central,Less than 50 percent,Cell,0.4444,0.3491,2.4725,6.5979,1.5624
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,40 to 64,White,South/Central,85 percent or higher,Cell,1,0.965,0.8276,0.5095,0.8392
Dem,65 and older,High school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,Approve,agree,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,North,85 percent or higher,Cell,0.7778,0.965,0.9672,0.8407,0.9618
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,30 to 44,Some College Educ.,Republican,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",White,18 to 39,White,North,50 to 85 percent,Landline,1,0.6267,1.4819,1.3905,1.6003
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Don't know,Don't know,Favorable,Approve,agree,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,40 to 64,White,South/Central,85 percent or higher,Landline,1,0.9616,0.7338,0.4259,0.7377
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Approve,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,South/Central,85 percent or higher,Cell,1,0.965,0.8042,0.5062,0.8155
Und,65 and older,[DO NOT READ] Refused,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,[DO NOT READ] Don't know/Refused,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Cell,1,0.8676,0.7506,0.4284,0.7813
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,Postgraduate Degree,Other,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,65 and older,White,South/Central,50 to 85 percent,Cell,1,0.8193,0.5575,0.3605,0.5765
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,North,85 percent or higher,Landline,1,0.965,1.1117,0.9762,1.1272
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,Disapp.,disagree,65 and older,Postgraduate Degree,Other,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,65 and older,Unknown/Non-White,North,85 percent or higher,Cell,1,0.9212,0.4492,0.2847,0.4574
Dem,50 to 64,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,Unknown/Non-White,Bangor Area,85 percent or higher,Landline,1,0.9582,0.7919,0.5497,0.8034
Dem,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,Approve,agree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.965,0.7031,0.4889,0.7129
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,South/Central,85 percent or higher,Cell,1,0.9514,1.0498,0.7497,1.0656
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Don't know,Unfavorable,Favorable,Approve,agree,65 and older,Some College Educ.,Other,Male,Very likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Cell,1,0.9146,0.5727,0.4097,0.5746
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,South/Central,85 percent or higher,Cell,1,0.9469,0.8551,0.5983,0.8683
Und,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,Approve,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.965,0.8986,0.6606,0.9112
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,40 to 64,Unknown/Non-White,South/Central,85 percent or higher,Landline,1,0.965,0.9317,0.5432,0.9448
Dem,50 to 64,Grade school,White,Male,White,Approve,Don't know,Favorable,Favorable,Disapp.,agree,45 to 64,High School Grad. or Less,Democratic,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,South/Central,Less than 50 percent,Landline,1,0.2594,1.7636,6.6332,1.6549
Und,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Don't know,Approve,agree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,Bangor Area,85 percent or higher,Cell,1,0.9346,0.7198,0.4843,0.7318
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,Approve,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,South/Central,85 percent or higher,Landline,1,0.944,0.744,0.5168,0.7557
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Bangor Area,85 percent or higher,Landline,1,0.965,1.2321,1.188,1.2494
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Bangor Area,85 percent or higher,Cell,1,0.965,0.6836,0.5086,0.6931
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Bangor Area,85 percent or higher,Landline,1,0.9108,0.5492,0.3593,0.551
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Auburn/Lewiston,85 percent or higher,Landline,1,0.965,1.1809,1.0703,1.1974
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,South/Central,85 percent or higher,Cell,1,0.965,1.0498,0.7392,1.0645
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Approve,agree,30 to 44,Some College Educ.,Republican,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,White,Bangor Area,50 to 85 percent,Cell,0.7778,0.6308,1.9238,1.8881,1.6326
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Disapp.,disagree,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,North,85 percent or higher,Landline,1,0.9495,0.5665,0.405,0.5751
